dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500000,13.500000,0.000014,0.001361,0.068070,3.403524,0.002296
0.020000,2.500000,13.500000,0.000068,0.004084,0.136141,3.403524,0.002282
0.020000,2.500000,13.500000,0.000191,0.008168,0.204211,3.403524,0.002251
0.020000,2.500000,13.500000,0.000408,0.013614,0.272282,3.403524,0.002196
0.020000,2.500000,13.500000,0.000749,0.020421,0.340352,3.403524,0.002111
0.020000,2.500000,13.500000,0.001239,0.028590,0.408423,3.403524,0.001987
0.020000,2.500000,13.500000,0.001906,0.038119,0.476493,3.403524,0.001819
0.020000,2.500000,13.500000,0.002777,0.049011,0.544564,3.403524,0.001600
0.020000,2.500000,13.500000,0.003880,0.061263,0.612634,3.403524,0.001322
0.020000,2.500000,13.500000,0.005241,0.074878,0.680705,3.403524,0.000980
0.020000,2.500000,13.500000,0.006889,0.089853,0.748775,3.403524,0.000565
0.020000,2.500000,13.500000,0.008849,0.106190,0.816846,3.403524,0.000072
0.020000,2.502017,13.499999,0.011150,0.123888,0.884916,3.403524,6.282677
0.020000,2.504686,13.499997,0.013818,0.142948,0.952987,3.403524,6.282005
0.020000,2.507749,13.499992,0.016881,0.163369,1.021057,3.403524,6.281234
0.020000,2.511234,13.499984,0.020367,0.185152,1.089128,3.403524,6.280355
0.020000,2.515169,13.499971,0.024301,0.208296,1.157198,3.403524,6.279363
0.020000,2.519579,13.499952,0.028712,0.232801,1.225269,3.403524,6.278250
0.020000,2.524494,13.499924,0.033627,0.258668,1.293339,3.403524,6.277009
0.020000,2.529940,13.499887,0.039072,0.285896,1.361410,3.403524,6.275633
0.020000,2.535943,13.499837,0.045076,0.314486,1.429480,3.403524,6.274116
0.020000,2.542532,13.499772,0.051665,0.344437,1.497551,3.403524,6.272448
0.020000,2.549734,13.499688,0.058867,0.375749,1.565621,3.403524,6.270624
0.020000,2.557575,13.499582,0.066709,0.408423,1.633692,3.403524,6.268637
0.020000,2.566082,13.499449,0.075218,0.442458,1.701762,3.403524,6.266478
0.020000,2.575270,13.499284,0.084407,0.476493,1.701762,0.000000,6.264144
0.020000,2.585139,13.499084,0.094278,0.510529,1.701762,-0.000000,6.261635
0.020000,2.595687,13.498843,0.104829,0.544564,1.701762,0.000000,6.258949
0.020000,2.606915,13.498554,0.116060,0.578599,1.701762,-0.000000,6.256087
0.020000,2.618822,13.498214,0.127973,0.612634,1.701762,0.000000,6.253048
0.020000,2.631409,13.497814,0.140566,0.646670,1.701762,0.000000,6.249831
0.020000,2.644674,13.497349,0.153839,0.680705,1.701762,0.000000,6.246436
0.020000,2.658619,13.496811,0.167794,0.714740,1.701762,-0.000000,6.242862
0.020000,2.673240,13.496194,0.182429,0.748775,1.701762,0.000000,6.239109
0.020000,2.688540,13.495489,0.197745,0.782811,1.701762,-0.000000,6.235177
0.020000,2.704517,13.494688,0.213741,0.816846,1.701762,0.000000,6.231064
0.020000,2.721169,13.493784,0.230419,0.850881,1.701762,0.000000,6.226770
0.020000,2.738498,13.492766,0.247777,0.884916,1.701762,0.000000,6.222296
0.020000,2.756500,13.491627,0.265815,0.918952,1.701762,0.000000,6.217641
0.020000,2.775176,13.490355,0.284535,0.952987,1.701762,-0.000000,6.212805
0.020000,2.794524,13.488943,0.303935,0.987022,1.701762,-0.000000,6.207788
0.020000,2.814544,13.487378,0.324016,1.021057,1.701762,0.000000,6.202589
0.020000,2.835234,13.485651,0.344777,1.055093,1.701762,0.000000,6.197209
0.020000,2.856591,13.483750,0.366219,1.089128,1.701762,0.000000,6.191648
0.020000,2.878616,13.481665,0.388342,1.123163,1.701762,-0.000000,6.185906
0.020000,2.901304,13.479383,0.411146,1.157198,1.701762,0.000000,6.179984
0.020000,2.924657,13.476892,0.434630,1.191234,1.701762,-0.000000,6.173883
0.020000,2.948669,13.474181,0.458795,1.225269,1.701762,0.000000,6.167603
0.020000,2.973340,13.471236,0.483641,1.259304,1.701762,-0.000000,6.161146
0.020000,2.998666,13.468044,0.509167,1.293339,1.701762,0.000000,6.154512
0.020000,3.024644,13.464593,0.535374,1.327374,1.701762,0.000000,6.147703
0.020000,3.051273,13.460868,0.562262,1.361410,1.701762,0.000000,6.140722
0.020000,3.078548,13.456856,0.589831,1.395445,1.701762,-0.000000,6.133569
0.020000,3.106466,13.452543,0.618080,1.429480,1.701762,0.000000,6.126247
0.020000,3.135023,13.447915,0.647010,1.463515,1.701762,0.000000,6.118758
0.020000,3.164216,13.442956,0.676621,1.497551,1.701762,0.000000,6.111106
0.020000,3.194039,13.437653,0.706912,1.531586,1.701762,-0.000000,6.103293
0.020000,3.224489,13.431990,0.737884,1.565621,1.701762,0.000000,6.095323
0.020000,3.255560,13.425952,0.769537,1.599656,1.701762,-0.000000,6.087199
0.020000,3.287248,13.419524,0.801870,1.633692,1.701762,0.000000,6.078926
0.020000,3.319547,13.412692,0.834885,1.667727,1.701762,-0.000000,6.070507
0.020000,3.352452,13.405438,0.868579,1.701762,1.701762,0.000000,6.061949
0.020000,3.385957,13.397749,0.902955,1.735797,1.701762,0.000000,6.053255
0.020000,3.420055,13.389609,0.938011,1.769833,1.701762,-0.000000,6.044432
0.020000,3.454740,13.381002,0.973748,1.803868,1.701762,0.000000,6.035485
0.020000,3.490005,13.371913,1.010166,1.837903,1.701762,0.000000,6.026421
