dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.500000,13.500000,0.000014,0.001383,0.069171,3.458550,6.280708
0.020000,2.500000,13.500000,0.000069,0.004150,0.138342,3.458550,6.280721
0.020000,2.500000,13.500000,0.000194,0.008301,0.207513,3.458550,6.280749
0.020000,2.500000,13.500000,0.000415,0.013834,0.276684,3.458550,6.280800
0.020000,2.500000,13.500000,0.000761,0.020751,0.345855,3.458550,6.280878
0.020000,2.500000,13.500000,0.001259,0.029052,0.415026,3.458550,6.280992
0.020000,2.500000,13.500000,0.001937,0.038736,0.484197,3.458550,6.281146
0.020000,2.500000,13.500000,0.002822,0.049803,0.553368,3.458550,6.281348
0.020000,2.500000,13.500000,0.003943,0.062254,0.622539,3.458550,6.281603
0.020000,2.500000,13.500000,0.005326,0.076088,0.691710,3.458550,6.281919
0.020000,2.500000,13.500000,0.007000,0.091306,0.760881,3.458550,6.282300
0.020000,2.500000,13.500000,0.008992,0.107907,0.830052,3.458550,6.282754
0.020000,2.500448,13.500000,0.011330,0.125891,0.899223,3.458550,0.000102
0.020000,2.503161,13.500001,0.014042,0.145259,0.968394,3.458550,0.000721
0.020000,2.506274,13.500004,0.017154,0.166010,1.037565,3.458550,0.001431
0.020000,2.509814,13.500011,0.020696,0.188145,1.106736,3.458550,0.002240
0.020000,2.513813,13.500022,0.024694,0.211663,1.175907,3.458550,0.003153
0.020000,2.518295,13.500038,0.029176,0.236565,1.245078,3.458550,0.004178
0.020000,2.523289,13.500062,0.034170,0.262850,1.314249,3.458550,0.005321
0.020000,2.528823,13.500095,0.039704,0.290518,1.383420,3.458550,0.006588
0.020000,2.534923,13.500139,0.045805,0.319570,1.452591,3.458550,0.007987
0.020000,2.541619,13.500198,0.052501,0.350005,1.521762,3.458550,0.009524
0.020000,2.548937,13.500274,0.059819,0.381824,1.590933,3.458550,0.011205
0.020000,2.556905,13.500370,0.067788,0.415026,1.660104,3.458550,0.013039
0.020000,2.565549,13.500492,0.076434,0.449612,1.729275,3.458550,0.015031
0.020000,2.574900,13.500642,0.085786,0.485580,1.798446,3.458550,0.017189
0.020000,2.584984,13.500827,0.095871,0.522933,1.867617,3.458550,0.019520
0.020000,2.595828,13.501053,0.106717,0.561669,1.936788,3.458550,0.022031
0.020000,2.607445,13.501324,0.118338,0.600404,1.936788,0.000000,0.024726
0.020000,2.619836,13.501649,0.130733,0.639140,1.936788,0.000000,0.027606
0.020000,2.633002,13.502032,0.143903,0.677876,1.936788,-0.000000,0.030673
0.020000,2.646939,13.502483,0.157848,0.716612,1.936788,0.000000,0.033926
0.020000,2.661648,13.503007,0.172568,0.755347,1.936788,0.000000,0.037367
0.020000,2.677132,13.503614,0.188062,0.794083,1.936788,-0.000000,0.040998
0.020000,2.693385,13.504312,0.204331,0.832819,1.936788,0.000000,0.044818
0.020000,2.710411,13.505110,0.221375,0.871555,1.936788,-0.000000,0.048831
0.020000,2.728206,13.506017,0.239193,0.910290,1.936788,-0.000000,0.053035
0.020000,2.746770,13.507043,0.257787,0.949026,1.936788,0.000000,0.057432
0.020000,2.766104,13.508200,0.277154,0.987762,1.936788,0.000000,0.062024
0.020000,2.786205,13.509496,0.297297,1.026498,1.936788,0.000000,0.066811
0.020000,2.807072,13.510945,0.318214,1.065233,1.936788,-0.000000,0.071794
0.020000,2.828704,13.512557,0.339906,1.103969,1.936788,-0.000000,0.076974
0.020000,2.851098,13.514344,0.362373,1.142705,1.936788,0.000000,0.082352
0.020000,2.874256,13.516321,0.385615,1.181441,1.936788,0.000000,0.087929
0.020000,2.898174,13.518499,0.409631,1.220177,1.936788,0.000000,0.093705
0.020000,2.922848,13.520892,0.434422,1.258912,1.936788,0.000000,0.099681
0.020000,2.948279,13.523515,0.459987,1.297648,1.936788,0.000000,0.105856
0.020000,2.974463,13.526381,0.486327,1.336384,1.936788,-0.000000,0.112232
0.020000,3.001398,13.529507,0.513443,1.375120,1.936788,0.000000,0.118809
0.020000,3.029079,13.532906,0.541332,1.413855,1.936788,0.000000,0.125585
0.020000,3.057504,13.536596,0.569997,1.452591,1.936788,0.000000,0.132562
0.020000,3.086671,13.540592,0.599436,1.491327,1.936788,0.000000,0.139738
0.020000,3.116575,13.544910,0.629650,1.530063,1.936788,0.000000,0.147112
0.020000,3.147211,13.549568,0.660638,1.568798,1.936788,0.000000,0.154685
0.020000,3.178575,13.554584,0.692402,1.607534,1.936788,0.000000,0.162453
0.020000,3.210664,13.559975,0.724940,1.646270,1.936788,0.000000,0.170416
0.020000,3.243471,13.565758,0.758253,1.685006,1.936788,0.000000,0.178572
0.020000,3.276990,13.571953,0.792340,1.723741,1.936788,0.000000,0.186918
0.020000,3.311218,13.578577,0.827202,1.762477,1.936788,0.000000,0.195452
0.020000,3.346145,13.585650,0.862839,1.801213,1.936788,0.000000,0.204171
0.020000,3.381768,13.593192,0.899251,1.839949,1.936788,-0.000000,0.213071
0.020000,3.418077,13.601220,0.936437,1.878684,1.936788,0.000000,0.222149
0.020000,3.455065,13.609755,0.974398,1.917420,1.936788,0.000000,0.231399
0.020000,3.492726,13.618816,1.013134,1.956156,1.936788,0.000000,0.240818
0.020000,3.531050,13.628423,1.052644,1.994892,1.936788,0.000000,0.250400
0.020000,3.570030,13.638595,1.092930,2.033628,1.936788,0.000000,0.260139
0.020000,3.609656,13.649353,1.133989,2.072363,1.936788,0.000000,0.270030
0.020000,3.649918,13.660715,1.175824,2.111099,1.936788,0.000000,0.280065
0.020000,3.690806,13.672701,1.218433,2.149835,1.936788,0.000000,0.290237
0.020000,3.732311,13.685331,1.261817,2.188571,1.936788,-0.000000,0.300539
0.020000,3.774421,13.698623,1.305976,2.227306,1.936788,0.000000,0.310963
0.020000,3.817127,13.712597,1.350910,2.266042,1.936788,0.000000,0.321499
0.020000,3.860415,13.727271,1.396618,2.304778,1.936788,0.000000,0.332139
0.020000,3.904275,13.742664,1.443101,2.343514,1.936788,0.000000,0.342873
0.020000,3.948695,13.758792,1.490358,2.382249,1.936788,0.000000,0.353691
0.020000,3.993662,13.775674,1.538391,2.420985,1.936788,0.000000,0.364582
0.020000,4.039165,13.793327,1.587198,2.459721,1.936788,0.000000,0.375536
0.020000,4.085190,13.811766,1.636780,2.498457,1.936788,0.000000,0.386541
0.020000,4.131725,13.831007,1.687136,2.537192,1.936788,0.000000,0.397585
0.020000,4.178758,13.851066,1.738267,2.575928,1.936788,0.000000,0.408658
0.020000,4.226274,13.871956,1.790173,2.614664,1.936788,0.000000,0.419745
0.020000,4.274261,13.893692,1.842854,2.653400,1.936788,-0.000000,0.430836
0.020000,4.322706,13.916286,1.896309,2.692136,1.936788,-0.000000,0.441917
0.020000,4.371597,13.939750,1.950539,2.730871,1.936788,0.000000,0.452975
0.020000,4.420920,13.964095,2.005544,2.769607,1.936788,0.000000,0.463999
0.020000,4.470664,13.989332,2.061324,2.808343,1.936788,0.000000,0.474973
0.020000,4.520815,14.015470,2.117878,2.847079,1.936788,0.000000,0.485887
0.020000,4.571362,14.042518,2.175207,2.885814,1.936788,0.000000,0.496726
0.020000,4.622293,14.070482,2.233310,2.924550,1.936788,0.000000,0.507478
0.020000,4.673598,14.099370,2.292189,2.963286,1.936788,0.000000,0.518130
0.020000,4.725264,14.129187,2.351842,3.002022,1.936788,0.000000,0.528669
0.020000,4.777281,14.159938,2.412270,3.040757,1.936788,0.000000,0.539083
0.020000,4.829641,14.191627,2.473472,3.079493,1.936788,0.000000,0.549360
0.020000,4.882333,14.224256,2.535449,3.118229,1.936788,0.000000,0.559486
0.020000,4.935350,14.257827,2.598201,3.156965,1.936788,-0.000000,0.569451
0.020000,4.988682,14.292342,2.661728,3.195700,1.936788,0.000000,0.579244
0.020000,5.042324,14.327799,2.726029,3.234436,1.936788,0.000000,0.588851
0.020000,5.096268,14.364198,2.791105,3.273172,1.936788,0.000000,0.598264
0.020000,5.150509,14.401538,2.856956,3.311908,1.936788,0.000000,0.607470
0.020000,5.205042,14.439814,2.923582,3.350643,1.936788,0.000000,0.616461
0.020000,5.259852,14.479015,2.990968,3.387996,1.867617,-3.458550,0.625223
0.020000,5.314914,14.519120,3.059088,3.423965,1.798446,-3.458550,0.633744
0.020000,5.370204,14.560107,3.127913,3.458550,1.729275,-3.458550,0.642012
0.020000,5.425700,14.601949,3.197416,3.491752,1.660104,-3.458550,0.650015
0.020000,5.481382,14.644623,3.267569,3.523571,1.590933,-3.458550,0.657744
0.020000,5.537229,14.688101,3.338345,3.554006,1.521762,-3.458550,0.665189
0.020000,5.593224,14.732353,3.409716,3.583058,1.452591,-3.458550,0.672340
0.020000,5.649350,14.777351,3.481653,3.610726,1.383420,-3.458550,0.679190
0.020000,5.705593,14.823065,3.554131,3.637011,1.314249,-3.458550,0.685732
0.020000,5.761938,14.869462,3.627120,3.661913,1.245078,-3.458550,0.691958
0.020000,5.818372,14.916510,3.700593,3.685431,1.175907,-3.458550,0.697863
0.020000,5.874884,14.964175,3.774523,3.707566,1.106736,-3.458550,0.703442
0.020000,5.931464,15.012424,3.848882,3.728317,1.037565,-3.458550,0.708688
0.020000,5.988102,15.061222,3.923642,3.747685,0.968394,-3.458550,0.713599
0.020000,6.044790,15.110532,3.998776,3.765669,0.899223,-3.458550,0.718171
0.020000,6.101520,15.160320,4.074255,3.782271,0.830052,-3.458550,0.722399
0.020000,6.158286,15.210549,4.150053,3.797488,0.760881,-3.458550,0.726281
0.020000,6.215082,15.261180,4.226141,3.811322,0.691710,-3.458550,0.729814
0.020000,6.271904,15.312178,4.302492,3.823773,0.622539,-3.458550,0.732997
0.020000,6.328746,15.363504,4.379078,3.834841,0.553368,-3.458550,0.735826
0.020000,6.385606,15.415120,4.455872,3.844524,0.484197,-3.458550,0.738301
0.020000,6.442480,15.466988,4.532845,3.852825,0.415026,-3.458550,0.740420
0.020000,6.499366,15.519068,4.609971,3.859742,0.345855,-3.458550,0.742182
0.020000,6.556261,15.571323,4.687221,3.865276,0.276684,-3.458550,0.743585
0.020000,6.613163,15.623713,4.764568,3.869426,0.207513,-3.458550,0.744630
0.020000,6.670071,15.676199,4.841984,3.872193,0.138342,-3.458550,0.745315
0.020000,6.726982,15.728742,4.919442,3.873576,0.069171,-3.458550,0.745641
0.020000,6.783893,15.781300,4.996909,3.873118,-0.022937,-4.605399,0.745606
