dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.000000,13.500000,0.000014,0.001386,0.069300,3.465002,3.141593
0.020000,8.000000,13.500000,0.000069,0.004158,0.138600,3.465002,3.141593
0.020000,8.000000,13.500000,0.000194,0.008316,0.207900,3.465002,3.141593
0.020000,8.000000,13.500000,0.000416,0.013860,0.277200,3.465002,3.141593
0.020000,8.000000,13.500000,0.000762,0.020790,0.346500,3.465002,3.141593
0.020000,8.000000,13.500000,0.001261,0.029106,0.415800,3.465002,3.141593
0.020000,8.000000,13.500000,0.001940,0.038808,0.485100,3.465002,3.141593
0.020000,8.000000,13.500000,0.002827,0.049896,0.554400,3.465002,3.141593
0.020000,8.000000,13.500000,0.003950,0.062370,0.623700,3.465002,3.141593
0.020000,8.000000,13.500000,0.005336,0.076230,0.693000,3.465002,3.141593
0.020000,7.998487,13.500000,0.007013,0.091476,0.762300,3.465002,3.141593
0.020000,7.996491,13.500000,0.009009,0.108108,0.831600,3.465002,3.141593
0.020000,7.994149,13.500000,0.011351,0.126126,0.900900,3.465002,3.141593
0.020000,7.991432,13.500000,0.014068,0.145530,0.970200,3.465002,3.141593
0.020000,7.988314,13.500000,0.017186,0.166320,1.039501,3.465002,3.141593
0.020000,7.984765,13.500000,0.020735,0.188496,1.108801,3.465002,3.141593
0.020000,7.980760,13.500000,0.024740,0.212058,1.178101,3.465002,3.141593
0.020000,7.976283,13.500000,0.029217,0.235620,1.178101,0.000000,3.141593
0.020000,7.971335,13.500000,0.034165,0.259182,1.178101,-0.000000,3.141593
0.020000,7.965916,13.500000,0.039584,0.282744,1.178101,0.000000,3.141593
0.020000,7.960025,13.500000,0.045475,0.306306,1.178101,0.000000,3.141593
0.020000,7.953664,13.500000,0.051836,0.329868,1.178101,0.000000,3.141593
0.020000,7.946831,13.500000,0.058669,0.353430,1.178101,0.000000,3.141593
0.020000,7.939526,13.500000,0.065974,0.376992,1.178101,0.000000,3.141593
0.020000,7.931751,13.500000,0.073749,0.400554,1.178101,0.000000,3.141593
0.020000,7.923504,13.500000,0.081996,0.424116,1.178101,-0.000000,3.141593
0.020000,7.914786,13.500000,0.090714,0.447678,1.178101,0.000000,3.141593
0.020000,7.905597,13.500000,0.099903,0.471240,1.178101,-0.000000,3.141593
0.020000,7.895937,13.500000,0.109563,0.494802,1.178101,-0.000000,3.141593
0.020000,7.885805,13.500000,0.119695,0.518364,1.178101,0.000000,3.141593
