dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000013,0.001319,0.065940,3.297003,6.280357
0.020000,0.000000,0.000000,0.000066,0.003956,0.131880,3.297003,6.280386
0.020000,0.000000,0.000000,0.000185,0.007913,0.197820,3.297003,6.280449
0.020000,0.000000,0.000000,0.000396,0.013188,0.263760,3.297003,6.280562
0.020000,0.000000,0.000000,0.000725,0.019782,0.329700,3.297003,6.280739
0.020000,0.000000,0.000000,0.001200,0.027695,0.395640,3.297003,6.280994
0.020000,0.000000,0.000000,0.001846,0.036926,0.461580,3.297003,6.281340
0.020000,0.000000,0.000000,0.002690,0.047477,0.527520,3.297003,6.281793
0.020000,0.000000,0.000000,0.003759,0.059346,0.593461,3.297003,6.282366
0.020000,0.000000,0.000000,0.005077,0.072534,0.659401,3.297003,6.283073
0.020000,0.001388,0.000001,0.006673,0.087041,0.725341,3.297003,0.000746
0.020000,0.003288,0.000003,0.008572,0.102866,0.791281,3.297003,0.001767
0.020000,0.005515,0.000008,0.010801,0.120011,0.857221,3.297003,0.002968
0.020000,0.008101,0.000018,0.013386,0.138474,0.923161,3.297003,0.004363
0.020000,0.011068,0.000033,0.016353,0.158256,0.989101,3.297003,0.005968
0.020000,0.014431,0.000056,0.019716,0.178038,0.989101,0.000000,0.007791
0.020000,0.018190,0.000089,0.023475,0.197820,0.989101,0.000000,0.009835
0.020000,0.022344,0.000135,0.027629,0.217602,0.989101,-0.000000,0.012100
0.020000,0.026893,0.000195,0.032179,0.237384,0.989101,0.000000,0.014588
0.020000,0.031837,0.000274,0.037124,0.257166,0.989101,0.000000,0.017304
0.020000,0.037178,0.000375,0.042465,0.276948,0.989101,0.000000,0.020247
0.020000,0.042913,0.000500,0.048202,0.296730,0.989101,-0.000000,0.023422
0.020000,0.049044,0.000654,0.054335,0.316512,0.989101,0.000000,0.026831
0.020000,0.055570,0.000841,0.060863,0.336294,0.989101,0.000000,0.030477
0.020000,0.062489,0.001065,0.067786,0.356076,0.989101,-0.000000,0.034362
0.020000,0.069804,0.001332,0.075106,0.375858,0.989101,0.000000,0.038491
0.020000,0.077512,0.001646,0.082821,0.395640,0.989101,0.000000,0.042866
0.020000,0.085615,0.002012,0.090931,0.415422,0.989101,-0.000000,0.047492
0.020000,0.094110,0.002436,0.099438,0.435204,0.989101,0.000000,0.052372
0.020000,0.102998,0.002925,0.108340,0.454986,0.989101,0.000000,0.057509
0.020000,0.112280,0.003485,0.117637,0.474768,0.989101,-0.000000,0.062909
0.020000,0.121952,0.004121,0.127330,0.494550,0.989101,0.000000,0.068575
0.020000,0.132015,0.004843,0.137419,0.514332,0.989101,0.000000,0.074511
0.020000,0.142468,0.005656,0.147904,0.534114,0.989101,-0.000000,0.080721
0.020000,0.153309,0.006568,0.158784,0.553896,0.989101,0.000000,0.087210
0.020000,0.164539,0.007588,0.170059,0.573678,0.989101,-0.000000,0.093983
0.020000,0.176155,0.008724,0.181731,0.593461,0.989101,0.000000,0.101044
0.020000,0.188155,0.009986,0.193798,0.613243,0.989101,-0.000000,0.108396
0.020000,0.200540,0.011381,0.206260,0.633025,0.989101,0.000000,0.116046
0.020000,0.213305,0.012921,0.219119,0.652807,0.989101,0.000000,0.123995
0.020000,0.226451,0.014614,0.232373,0.672589,0.989101,-0.000000,0.132250
0.020000,0.239973,0.016472,0.246022,0.692371,0.989101,0.000000,0.140814
0.020000,0.253871,0.018505,0.260068,0.712153,0.989101,0.000000,0.149690
0.020000,0.268140,0.020724,0.274508,0.731935,0.989101,0.000000,0.158882
0.020000,0.282778,0.023141,0.289345,0.751717,0.989101,-0.000000,0.168394
0.020000,0.297782,0.025767,0.304577,0.771499,0.989101,0.000000,0.178227
0.020000,0.313148,0.028616,0.320205,0.791281,0.989101,0.000000,0.188385
0.020000,0.328872,0.031699,0.336228,0.811063,0.989101,-0.000000,0.198870
0.020000,0.344949,0.035029,0.352647,0.830845,0.989101,0.000000,0.209681
0.020000,0.361376,0.038621,0.369462,0.850627,0.989101,-0.000000,0.220822
0.020000,0.378146,0.042487,0.386672,0.870409,0.989101,0.000000,0.232290
0.020000,0.395255,0.046640,0.404278,0.890191,0.989101,0.000000,0.244085
0.020000,0.412696,0.051097,0.422280,0.909973,0.989101,-0.000000,0.256206
0.020000,0.430463,0.055869,0.440677,0.929755,0.989101,0.000000,0.268649
0.020000,0.448550,0.060973,0.459470,0.949537,0.989101,0.000000,0.281410
0.020000,0.466949,0.066422,0.478659,0.969319,0.989101,0.000000,0.294485
0.020000,0.485651,0.072231,0.498243,0.989101,0.989101,-0.000000,0.307867
0.020000,0.504649,0.078416,0.518223,1.008883,0.989101,0.000000,0.321547
0.020000,0.523935,0.084990,0.538598,1.028665,0.989101,-0.000000,0.335519
0.020000,0.543498,0.091969,0.559369,1.048447,0.989101,0.000000,0.349769
0.020000,0.563330,0.099366,0.580536,1.068229,0.989101,0.000000,0.364288
0.020000,0.583420,0.107197,0.602099,1.088011,0.989101,0.000000,0.379061
0.020000,0.603758,0.115475,0.624057,1.107793,0.989101,-0.000000,0.394073
0.020000,0.624332,0.124215,0.646410,1.127575,0.989101,-0.000000,0.409309
0.020000,0.645131,0.133430,0.669160,1.147357,0.989101,0.000000,0.424749
0.020000,0.666144,0.143132,0.692305,1.167139,0.989101,0.000000,0.440374
0.020000,0.687358,0.153335,0.715845,1.186921,0.989101,0.000000,0.456163
0.020000,0.708762,0.164050,0.739781,1.206703,0.989101,-0.000000,0.472095
0.020000,0.730342,0.175288,0.764113,1.226485,0.989101,0.000000,0.488145
0.020000,0.752087,0.187061,0.788841,1.246267,0.989101,0.000000,0.504289
0.020000,0.773983,0.199379,0.813964,1.266049,0.989101,0.000000,0.520500
0.020000,0.796018,0.212249,0.839483,1.285831,0.989101,0.000000,0.536754
