dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.500000,2.500000,0.000013,0.001319,0.065940,3.297003,3.138765
0.020000,3.500000,2.500000,0.000066,0.003956,0.131880,3.297003,3.138793
0.020000,3.500000,2.500000,0.000185,0.007913,0.197820,3.297003,3.138857
0.020000,3.500000,2.500000,0.000396,0.013188,0.263760,3.297003,3.138970
0.020000,3.500000,2.500000,0.000725,0.019782,0.329700,3.297003,3.139146
0.020000,3.500000,2.500000,0.001200,0.027695,0.395640,3.297003,3.139401
0.020000,3.500000,2.500000,0.001846,0.036926,0.461580,3.297003,3.139747
0.020000,3.500000,2.500000,0.002690,0.047477,0.527520,3.297003,3.140200
0.020000,3.500000,2.500000,0.003759,0.059346,0.593461,3.297003,3.140773
0.020000,3.500000,2.500000,0.005077,0.072534,0.659401,3.297003,3.141481
0.020000,3.498612,2.499999,0.006673,0.087041,0.725341,3.297003,3.142338
0.020000,3.496712,2.499997,0.008572,0.102866,0.791281,3.297003,3.143360
0.020000,3.494485,2.499992,0.010801,0.120011,0.857221,3.297003,3.144560
0.020000,3.491899,2.499982,0.013386,0.138474,0.923161,3.297003,3.145956
0.020000,3.488932,2.499967,0.016353,0.158256,0.989101,3.297003,3.147560
0.020000,3.485569,2.499944,0.019716,0.178038,0.989101,0.000000,3.149384
0.020000,3.481810,2.499911,0.023475,0.197820,0.989101,0.000000,3.151427
0.020000,3.477656,2.499865,0.027629,0.217602,0.989101,-0.000000,3.153692
0.020000,3.473107,2.499805,0.032179,0.237384,0.989101,0.000000,3.156181
0.020000,3.468163,2.499726,0.037124,0.257166,0.989101,0.000000,3.158896
0.020000,3.462822,2.499625,0.042465,0.276948,0.989101,0.000000,3.161840
0.020000,3.457087,2.499500,0.048202,0.296730,0.989101,-0.000000,3.165015
0.020000,3.450956,2.499346,0.054335,0.316512,0.989101,0.000000,3.168424
0.020000,3.444430,2.499159,0.060863,0.336294,0.989101,0.000000,3.172070
0.020000,3.437511,2.498935,0.067786,0.356076,0.989101,-0.000000,3.175955
0.020000,3.430196,2.498668,0.075106,0.375858,0.989101,0.000000,3.180084
0.020000,3.422488,2.498354,0.082821,0.395640,0.989101,0.000000,3.184459
0.020000,3.414385,2.497988,0.090931,0.415422,0.989101,-0.000000,3.189085
0.020000,3.405890,2.497564,0.099438,0.435204,0.989101,0.000000,3.193964
0.020000,3.397002,2.497075,0.108340,0.454986,0.989101,0.000000,3.199102
0.020000,3.387720,2.496515,0.117637,0.474768,0.989101,-0.000000,3.204502
0.020000,3.378048,2.495879,0.127330,0.494550,0.989101,0.000000,3.210168
0.020000,3.367985,2.495157,0.137419,0.514332,0.989101,0.000000,3.216103
0.020000,3.357532,2.494344,0.147904,0.534114,0.989101,-0.000000,3.222314
0.020000,3.346691,2.493432,0.158784,0.553896,0.989101,0.000000,3.228803
0.020000,3.335461,2.492412,0.170059,0.573678,0.989101,-0.000000,3.235576
0.020000,3.323845,2.491276,0.181731,0.593461,0.989101,0.000000,3.242637
