dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.003429,1.349996,0.000013,0.001342,0.067116,3.355795,6.280645
0.020000,0.003398,1.349996,0.000045,0.001566,0.011200,-2.795780,6.280668
0.020000,0.003328,1.349996,0.000115,0.003524,0.097897,4.334858,6.280720
0.020000,0.003202,1.349996,0.000241,0.006266,0.137063,1.958259,6.280813
0.020000,0.003006,1.349997,0.000436,0.009790,0.176237,1.958733,6.280958
0.020000,0.002725,1.349997,0.000718,0.014099,0.215427,1.959508,6.281167
0.020000,0.002341,1.349998,0.001102,0.019192,0.254641,1.960656,6.281451
0.020000,0.001839,1.349999,0.001604,0.025069,0.293886,1.962246,6.281823
0.020000,0.001205,1.349999,0.002238,0.031733,0.333172,1.964346,6.282293
0.020000,0.000421,1.350000,0.003022,0.039183,0.372513,1.967015,6.282873
0.020000,0.000376,1.350000,0.003067,0.002251,-1.846598,-110.955552,0.000391
0.020000,0.001180,1.350001,0.003871,0.040182,1.896561,187.157949,0.001228
0.020000,0.002121,1.350002,0.004812,0.047082,0.344976,-77.579250,0.002210
0.020000,0.003212,1.350005,0.005903,0.054555,0.373638,1.433109,0.003351
0.020000,0.004463,1.350010,0.007154,0.062516,0.398085,1.222342,0.004662
0.020000,0.005883,1.350018,0.008574,0.071024,0.425369,1.364197,0.006156
0.020000,0.007483,1.350029,0.010174,0.080000,0.448816,1.172390,0.007843
0.020000,0.009268,1.350045,0.011959,0.089242,0.462082,0.663300,0.009733
0.020000,0.011236,1.350066,0.013927,0.098399,0.457861,-0.211048,0.011825
0.020000,0.013385,1.350094,0.016077,0.107482,0.454159,-0.185104,0.014121
0.020000,0.015715,1.350130,0.018406,0.116495,0.450652,-0.175362,0.016621
0.020000,0.018223,1.350175,0.020915,0.125430,0.446725,-0.196368,0.019326
0.020000,0.020908,1.350231,0.023601,0.134278,0.442400,-0.216262,0.022239
0.020000,0.023768,1.350299,0.026461,0.143032,0.437702,-0.234898,0.025360
0.020000,0.026801,1.350381,0.029496,0.151718,0.434334,-0.168361,0.028690
0.020000,0.030005,1.350478,0.032701,0.160289,0.428517,-0.290891,0.032232
0.020000,0.033378,1.350594,0.036076,0.168741,0.422626,-0.294527,0.035986
0.020000,0.036918,1.350728,0.039619,0.177140,0.419948,-0.133923,0.039954
0.020000,0.040623,1.350884,0.043327,0.185387,0.412341,-0.380306,0.044138
0.020000,0.044490,1.351063,0.047198,0.193545,0.407925,-0.220833,0.048539
0.020000,0.048517,1.351268,0.051230,0.201618,0.403620,-0.215249,0.053159
0.020000,0.052701,1.351501,0.055421,0.209561,0.397138,-0.324101,0.057999
0.020000,0.057042,1.351764,0.059769,0.217404,0.392166,-0.248571,0.063060
0.020000,0.061535,1.352060,0.064272,0.225147,0.387149,-0.250881,0.068345
0.020000,0.066179,1.352390,0.068928,0.232790,0.382149,-0.250002,0.073855
