dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000013,0.001342,0.067116,3.355795,6.280645
0.020000,0.000000,0.000000,0.000067,0.004027,0.134232,3.355795,6.280668
0.020000,0.000000,0.000000,0.000188,0.008054,0.201348,3.355795,6.280720
0.020000,0.000000,0.000000,0.000403,0.013423,0.268464,3.355795,6.280813
0.020000,0.000000,0.000000,0.000738,0.020135,0.335579,3.355795,6.280958
0.020000,0.000000,0.000000,0.001222,0.028189,0.402695,3.355795,6.281167
0.020000,0.000000,0.000000,0.001879,0.037585,0.469811,3.355795,6.281451
0.020000,0.000000,0.000000,0.002738,0.048323,0.536927,3.355795,6.281823
0.020000,0.000000,0.000000,0.003826,0.060404,0.604043,3.355795,6.282293
0.020000,0.000000,0.000000,0.005168,0.073827,0.671159,3.355795,6.282873
0.020000,0.000904,0.000000,0.006792,0.088593,0.738275,3.355795,0.000391
0.020000,0.002837,0.000002,0.008725,0.104701,0.805391,3.355795,0.001228
0.020000,0.005105,0.000006,0.010994,0.122151,0.872507,3.355795,0.002210
0.020000,0.007737,0.000013,0.013625,0.140943,0.939623,3.355795,0.003351
0.020000,0.010756,0.000025,0.016645,0.161078,1.006738,3.355795,0.004662
0.020000,0.014193,0.000044,0.020081,0.182555,1.073854,3.355795,0.006156
0.020000,0.018072,0.000071,0.023960,0.205375,1.140970,3.355795,0.007843
0.020000,0.022407,0.000109,0.028296,0.228194,1.140970,0.000000,0.009733
0.020000,0.027200,0.000161,0.033088,0.251013,1.140970,-0.000000,0.011825
0.020000,0.032448,0.000229,0.038337,0.273833,1.140970,0.000000,0.014121
0.020000,0.038152,0.000316,0.044041,0.296652,1.140970,0.000000,0.016621
0.020000,0.044312,0.000427,0.050203,0.319472,1.140970,0.000000,0.019326
0.020000,0.050928,0.000565,0.056820,0.342291,1.140970,0.000000,0.022239
0.020000,0.058000,0.000733,0.063894,0.365110,1.140970,0.000000,0.025360
0.020000,0.065528,0.000936,0.071425,0.387930,1.140970,0.000000,0.028690
0.020000,0.073511,0.001180,0.079412,0.410749,1.140970,-0.000000,0.032232
0.020000,0.081948,0.001468,0.087855,0.433569,1.140970,0.000000,0.035986
0.020000,0.090842,0.001805,0.096754,0.456388,1.140970,-0.000000,0.039954
0.020000,0.100190,0.002199,0.106110,0.479208,1.140970,-0.000000,0.044138
0.020000,0.109991,0.002653,0.115923,0.502027,1.140970,0.000000,0.048539
0.020000,0.120247,0.003175,0.126191,0.524846,1.140970,0.000000,0.053159
0.020000,0.130956,0.003771,0.136916,0.547666,1.140970,0.000000,0.057999
0.020000,0.142117,0.004447,0.148098,0.570485,1.140970,0.000000,0.063060
0.020000,0.153729,0.005211,0.159736,0.593305,1.140970,0.000000,0.068345
0.020000,0.165793,0.006070,0.171830,0.616124,1.140970,0.000000,0.073855
0.020000,0.178306,0.007032,0.184381,0.638943,1.140970,0.000000,0.079591
0.020000,0.191269,0.008105,0.197388,0.661763,1.140970,-0.000000,0.085555
0.020000,0.204680,0.009297,0.210851,0.684582,1.140970,0.000000,0.091747
0.020000,0.218537,0.010617,0.224771,0.707402,1.140970,-0.000000,0.098169
0.020000,0.232839,0.012074,0.239147,0.730221,1.140970,0.000000,0.104823
0.020000,0.247585,0.013676,0.253980,0.753040,1.140970,0.000000,0.111707
0.020000,0.262772,0.015435,0.269269,0.775860,1.140970,0.000000,0.118823
0.020000,0.278399,0.017358,0.285014,0.798679,1.140970,-0.000000,0.126172
0.020000,0.294465,0.019458,0.301216,0.821499,1.140970,0.000000,0.133754
0.020000,0.310965,0.021744,0.317874,0.844318,1.140970,0.000000,0.141568
0.020000,0.327898,0.024227,0.334989,0.867137,1.140970,0.000000,0.149613
0.020000,0.345262,0.026918,0.352560,0.889957,1.140970,-0.000000,0.157890
0.020000,0.363053,0.029828,0.370587,0.912776,1.140970,0.000000,0.166397
0.020000,0.381268,0.032969,0.389071,0.935596,1.140970,-0.000000,0.175132
0.020000,0.399903,0.036353,0.408011,0.958415,1.140970,0.000000,0.184094
0.020000,0.418955,0.039991,0.427407,0.981234,1.140970,0.000000,0.193280
0.020000,0.438420,0.043896,0.447260,1.004054,1.140970,0.000000,0.202686
0.020000,0.458294,0.048080,0.467570,1.026873,1.140970,0.000000,0.212310
0.020000,0.478571,0.052555,0.488335,1.049693,1.140970,-0.000000,0.222148
0.020000,0.499248,0.057335,0.509557,1.072512,1.140970,0.000000,0.232195
0.020000,0.520319,0.062431,0.531236,1.095331,1.140970,0.000000,0.242445
