dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.003429,-1.349996,0.000013,0.001342,0.067116,3.355795,6.280645
0.020000,-0.003398,-1.349996,0.000045,0.001566,0.011200,-2.795780,6.280668
0.020000,-0.003328,-1.349996,0.000115,0.003524,0.097897,4.334858,6.280720
0.020000,-0.003202,-1.349996,0.000241,0.006266,0.137063,1.958259,6.280813
0.020000,-0.003006,-1.349997,0.000436,0.009790,0.176237,1.958733,6.280958
0.020000,-0.002725,-1.349997,0.000718,0.014099,0.215427,1.959508,6.281167
0.020000,-0.002341,-1.349998,0.001102,0.019192,0.254641,1.960656,6.281451
0.020000,-0.001839,-1.349999,0.001604,0.025069,0.293886,1.962246,6.281823
0.020000,-0.001205,-1.349999,0.002238,0.031733,0.333172,1.964346,6.282293
0.020000,-0.000421,-1.350000,0.003022,0.039183,0.372513,1.967015,6.282873
0.020000,0.001432,-1.350000,0.004874,0.092629,2.672298,114.989264,0.000391
0.020000,0.004495,-1.349997,0.007938,0.153161,3.026601,17.715140,0.001228
0.020000,0.008089,-1.349991,0.011532,0.179714,1.327637,-84.948206,0.002210
0.020000,0.012261,-1.349979,0.015704,0.208581,1.443356,5.785944,0.003351
0.020000,0.017050,-1.349960,0.020493,0.239474,1.544678,5.066130,0.004662
0.020000,0.022503,-1.349931,0.025946,0.272650,1.658801,5.706163,0.006156
0.020000,0.028660,-1.349888,0.032103,0.307859,1.760404,5.080116,0.007843
0.020000,0.035547,-1.349827,0.038990,0.344360,1.825049,3.232279,0.009733
0.020000,0.043163,-1.349745,0.046607,0.380841,1.824062,-0.049377,0.011825
0.020000,0.051510,-1.349637,0.054955,0.417370,1.826460,0.119916,0.014121
0.020000,0.060589,-1.349497,0.064034,0.453989,1.830960,0.224995,0.016621
0.020000,0.070401,-1.349321,0.073848,0.490691,1.835110,0.207518,0.019326
0.020000,0.080948,-1.349102,0.084398,0.527469,1.838904,0.189682,0.022239
0.020000,0.092231,-1.348833,0.095684,0.564316,1.842333,0.171462,0.025360
0.020000,0.104254,-1.348508,0.107711,0.601357,1.852046,0.485634,0.028690
0.020000,0.117016,-1.348119,0.120479,0.638417,1.852976,0.046500,0.032232
0.020000,0.130519,-1.347658,0.133989,0.675503,1.854314,0.066898,0.035986
0.020000,0.144766,-1.347117,0.148247,0.712886,1.869170,0.742800,0.039954
0.020000,0.159756,-1.346487,0.163251,0.750181,1.864724,-0.222307,0.044138
0.020000,0.175493,-1.345757,0.179004,0.787648,1.873383,0.432968,0.048539
0.020000,0.191977,-1.344918,0.195510,0.825302,1.882693,0.465504,0.053159
0.020000,0.209210,-1.343959,0.212769,0.862962,1.883013,0.015982,0.057999
0.020000,0.227192,-1.342869,0.230784,0.900746,1.889163,0.307485,0.063060
0.020000,0.245924,-1.341637,0.249557,0.938637,1.894562,0.269950,0.068345
0.020000,0.265407,-1.340249,0.269089,0.976621,1.899185,0.231172,0.073855
