dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.496571,1.150004,0.000013,0.001342,0.067116,3.355795,3.139052
0.020000,4.496602,1.150004,0.000045,0.001566,0.011200,-2.795780,3.139076
0.020000,4.496672,1.150004,0.000115,0.003524,0.097897,4.334858,3.139128
0.020000,4.496798,1.150004,0.000241,0.006266,0.137063,1.958259,3.139221
0.020000,4.496994,1.150003,0.000436,0.009790,0.176237,1.958733,3.139366
0.020000,4.497275,1.150003,0.000718,0.014099,0.215427,1.959508,3.139575
0.020000,4.497659,1.150002,0.001102,0.019192,0.254641,1.960656,3.139859
0.020000,4.498161,1.150001,0.001604,0.025069,0.293886,1.962246,3.140230
0.020000,4.498795,1.150001,0.002238,0.031733,0.333172,1.964346,3.140700
0.020000,4.499579,1.150000,0.003022,0.039183,0.372513,1.967015,3.141281
0.020000,4.499624,1.150000,0.003067,0.002251,-1.846598,-110.955552,3.141984
0.020000,4.498820,1.149999,0.003871,0.040182,1.896561,187.157949,3.142821
0.020000,4.497879,1.149998,0.004812,0.047082,0.344976,-77.579250,3.143803
0.020000,4.496788,1.149995,0.005903,0.054555,0.373638,1.433109,3.144944
0.020000,4.495537,1.149990,0.007154,0.062516,0.398085,1.222342,3.146255
0.020000,4.494117,1.149982,0.008574,0.071024,0.425369,1.364197,3.147748
0.020000,4.492517,1.149971,0.010174,0.080000,0.448816,1.172390,3.149436
0.020000,4.490732,1.149955,0.011959,0.089242,0.462082,0.663300,3.151326
0.020000,4.488764,1.149934,0.013927,0.098399,0.457861,-0.211048,3.153418
0.020000,4.486615,1.149906,0.016077,0.107482,0.454159,-0.185104,3.155713
0.020000,4.484285,1.149870,0.018406,0.116495,0.450652,-0.175362,3.158213
0.020000,4.481777,1.149825,0.020915,0.125430,0.446725,-0.196368,3.160919
0.020000,4.479092,1.149769,0.023601,0.134278,0.442400,-0.216262,3.163832
0.020000,4.476232,1.149701,0.026461,0.143032,0.437702,-0.234898,3.166952
0.020000,4.473199,1.149619,0.029496,0.151718,0.434334,-0.168361,3.170283
0.020000,4.469995,1.149522,0.032701,0.160289,0.428517,-0.290891,3.173825
0.020000,4.466622,1.149406,0.036076,0.168741,0.422626,-0.294527,3.177578
0.020000,4.463082,1.149272,0.039619,0.177140,0.419948,-0.133923,3.181547
0.020000,4.459377,1.149116,0.043327,0.185387,0.412341,-0.380306,3.185731
0.020000,4.455510,1.148937,0.047198,0.193545,0.407925,-0.220833,3.190131
0.020000,4.451483,1.148732,0.051230,0.201618,0.403620,-0.215249,3.194751
0.020000,4.447299,1.148499,0.055421,0.209561,0.397138,-0.324101,3.199591
0.020000,4.442958,1.148236,0.059769,0.217404,0.392166,-0.248571,3.204653
0.020000,4.438465,1.147940,0.064272,0.225147,0.387149,-0.250881,3.209938
0.020000,4.433821,1.147610,0.068928,0.232790,0.382149,-0.250002,3.215448
0.020000,4.429029,1.147241,0.073735,0.240335,0.377235,-0.245699,3.221184
0.020000,4.424089,1.146833,0.078691,0.247815,0.374003,-0.161574,3.227148
0.020000,4.419005,1.146381,0.083795,0.255190,0.368785,-0.260918,3.233340
0.020000,4.413779,1.145883,0.089045,0.262487,0.364848,-0.196862,3.239762
0.020000,4.408412,1.145336,0.094439,0.269747,0.362973,-0.093745,3.246415
0.020000,4.402906,1.144738,0.099978,0.276932,0.359277,-0.184790,3.253300
0.020000,4.397262,1.144085,0.105660,0.284077,0.357256,-0.101063,3.260416
0.020000,4.391481,1.143373,0.111484,0.291216,0.356914,-0.017069,3.267765
0.020000,4.385565,1.142600,0.117451,0.298340,0.356217,-0.034851,3.275346
0.020000,4.379513,1.141761,0.123560,0.305469,0.356471,0.012689,3.283160
0.020000,4.373327,1.140854,0.129813,0.312630,0.358042,0.078523,3.291206
0.020000,4.367005,1.139875,0.136210,0.319859,0.361414,0.168606,3.299483
0.020000,4.360548,1.138818,0.142753,0.327156,0.364861,0.172367,3.307990
0.020000,4.353954,1.137681,0.149444,0.334548,0.369628,0.238352,3.316725
0.020000,4.347222,1.136459,0.156286,0.342096,0.377361,0.386652,3.325687
0.020000,4.340351,1.135147,0.163282,0.349788,0.384636,0.363739,3.334872
0.020000,4.333336,1.133740,0.170436,0.357702,0.395708,0.553590,3.344279
0.020000,4.326177,1.132232,0.177752,0.365831,0.406411,0.535152,3.353903
0.020000,4.318868,1.130619,0.185237,0.374235,0.420241,0.691533,3.363741
0.020000,4.311406,1.128894,0.192896,0.382953,0.435890,0.782442,3.373787
0.020000,4.303785,1.127051,0.200737,0.392023,0.453467,0.878826,3.384038
0.020000,4.296000,1.125082,0.208766,0.401484,0.473071,0.980234,3.394486
0.020000,4.288046,1.122981,0.216994,0.411380,0.494794,1.086130,3.405126
0.020000,4.279914,1.120740,0.225429,0.421754,0.518728,1.196707,3.415949
0.020000,4.271597,1.118350,0.234082,0.432676,0.546093,1.368246,3.426950
0.020000,4.263087,1.115801,0.242965,0.444147,0.573513,1.370994,3.438118
0.020000,4.254376,1.113086,0.252091,0.456264,0.605873,1.618021,3.449445
0.020000,4.245452,1.110192,0.261471,0.469032,0.638402,1.626406,3.460921
0.020000,4.236308,1.107109,0.271122,0.482519,0.674358,1.797810,3.472535
0.020000,4.226931,1.103825,0.281057,0.496769,0.712491,1.906669,3.484276
0.020000,4.217310,1.100328,0.291294,0.511824,0.752763,2.013569,3.496132
0.020000,4.207434,1.096605,0.301848,0.527727,0.795112,2.117458,3.508091
0.020000,4.197291,1.092641,0.312738,0.544516,0.839457,2.217260,3.520139
0.020000,4.186868,1.088422,0.323983,0.562230,0.885695,2.311928,3.532262
0.020000,4.176152,1.083932,0.335601,0.580911,0.934081,2.419288,3.544447
0.020000,4.165131,1.079155,0.347613,0.600582,0.983514,2.471653,3.556679
0.020000,4.153792,1.074074,0.360038,0.621278,1.034827,2.565631,3.568942
0.020000,4.142121,1.068672,0.372899,0.643018,1.087023,2.609790,3.581221
0.020000,4.130106,1.062930,0.386215,0.665831,1.140601,2.678913,3.593500
0.020000,4.117734,1.056830,0.400010,0.689727,1.194821,2.711013,3.605763
0.020000,4.104991,1.050352,0.414304,0.714719,1.249610,2.739454,3.617994
0.020000,4.091867,1.043477,0.429121,0.740816,1.304858,2.762387,3.630176
0.020000,4.078348,1.036184,0.444481,0.768022,1.360261,2.770125,3.642293
0.020000,4.064423,1.028454,0.460408,0.796333,1.415590,2.766479,3.654329
0.020000,4.050081,1.020266,0.476923,0.825746,1.470625,2.751765,3.666268
0.020000,4.035311,1.011599,0.494048,0.856251,1.525243,2.730866,3.678092
0.020000,4.020102,1.002434,0.511804,0.887831,1.579022,2.688954,3.689787
0.020000,4.004447,0.992748,0.530214,0.920475,1.632213,2.659572,3.701336
0.020000,3.988334,0.982523,0.549297,0.954158,1.684115,2.595101,3.712724
0.020000,3.971757,0.971738,0.569074,0.988857,1.734973,2.542892,3.723936
0.020000,3.954706,0.960373,0.589565,1.024550,1.784621,2.482387,3.734958
