dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.500000,2.500000,0.000013,0.001342,0.067116,3.355795,3.139052
0.020000,4.500000,2.500000,0.000067,0.004027,0.134232,3.355795,3.139076
0.020000,4.500000,2.500000,0.000188,0.008054,0.201348,3.355795,3.139128
0.020000,4.500000,2.500000,0.000403,0.013423,0.268464,3.355795,3.139221
0.020000,4.500000,2.500000,0.000738,0.020135,0.335579,3.355795,3.139366
0.020000,4.500000,2.500000,0.001222,0.028189,0.402695,3.355795,3.139575
0.020000,4.500000,2.500000,0.001879,0.037585,0.469811,3.355795,3.139859
0.020000,4.500000,2.500000,0.002738,0.048323,0.536927,3.355795,3.140230
0.020000,4.500000,2.500000,0.003826,0.060404,0.604043,3.355795,3.140700
0.020000,4.500000,2.500000,0.005168,0.073827,0.671159,3.355795,3.141281
0.020000,4.499096,2.500000,0.006792,0.088593,0.738275,3.355795,3.141984
0.020000,4.497163,2.499998,0.008725,0.104701,0.805391,3.355795,3.142821
0.020000,4.494895,2.499994,0.010994,0.122151,0.872507,3.355795,3.143803
0.020000,4.492263,2.499987,0.013625,0.140943,0.939623,3.355795,3.144944
0.020000,4.489244,2.499975,0.016645,0.161078,1.006738,3.355795,3.146255
0.020000,4.485807,2.499956,0.020081,0.182555,1.073854,3.355795,3.147748
0.020000,4.481928,2.499929,0.023960,0.205375,1.140970,3.355795,3.149436
0.020000,4.477593,2.499891,0.028296,0.228194,1.140970,0.000000,3.151326
0.020000,4.472800,2.499839,0.033088,0.251013,1.140970,-0.000000,3.153418
0.020000,4.467552,2.499771,0.038337,0.273833,1.140970,0.000000,3.155713
0.020000,4.461848,2.499684,0.044041,0.296652,1.140970,0.000000,3.158213
0.020000,4.455688,2.499573,0.050203,0.319472,1.140970,0.000000,3.160919
0.020000,4.449072,2.499435,0.056820,0.342291,1.140970,0.000000,3.163832
0.020000,4.442000,2.499267,0.063894,0.365110,1.140970,0.000000,3.166952
0.020000,4.434472,2.499064,0.071425,0.387930,1.140970,0.000000,3.170283
0.020000,4.426489,2.498820,0.079412,0.410749,1.140970,-0.000000,3.173825
0.020000,4.418052,2.498532,0.087855,0.433569,1.140970,0.000000,3.177578
0.020000,4.409158,2.498195,0.096754,0.456388,1.140970,-0.000000,3.181547
0.020000,4.399810,2.497801,0.106110,0.479208,1.140970,-0.000000,3.185731
0.020000,4.390009,2.497347,0.115923,0.502027,1.140970,0.000000,3.190131
0.020000,4.379753,2.496825,0.126191,0.524846,1.140970,0.000000,3.194751
0.020000,4.369044,2.496229,0.136916,0.547666,1.140970,0.000000,3.199591
0.020000,4.357883,2.495553,0.148098,0.570485,1.140970,0.000000,3.204653
0.020000,4.346271,2.494789,0.159736,0.593305,1.140970,0.000000,3.209938
0.020000,4.334207,2.493930,0.171830,0.616124,1.140970,0.000000,3.215448
0.020000,4.321694,2.492968,0.184381,0.638943,1.140970,0.000000,3.221184
0.020000,4.308731,2.491895,0.197388,0.661763,1.140970,-0.000000,3.227148
0.020000,4.295320,2.490703,0.210851,0.684582,1.140970,0.000000,3.233340
0.020000,4.281463,2.489383,0.224771,0.707402,1.140970,-0.000000,3.239762
0.020000,4.267161,2.487926,0.239147,0.730221,1.140970,0.000000,3.246415
0.020000,4.252415,2.486324,0.253980,0.753040,1.140970,0.000000,3.253300
0.020000,4.237228,2.484565,0.269269,0.775860,1.140970,0.000000,3.260416
0.020000,4.221601,2.482642,0.285014,0.798679,1.140970,-0.000000,3.267765
0.020000,4.205535,2.480542,0.301216,0.821499,1.140970,0.000000,3.275346
0.020000,4.189035,2.478256,0.317874,0.844318,1.140970,0.000000,3.283160
0.020000,4.172102,2.475773,0.334989,0.867137,1.140970,0.000000,3.291206
0.020000,4.154738,2.473082,0.352560,0.889957,1.140970,-0.000000,3.299483
0.020000,4.136947,2.470172,0.370587,0.912776,1.140970,0.000000,3.307990
0.020000,4.118732,2.467031,0.389071,0.935596,1.140970,-0.000000,3.316725
0.020000,4.100097,2.463647,0.408011,0.958415,1.140970,0.000000,3.325687
0.020000,4.081045,2.460009,0.427407,0.981234,1.140970,0.000000,3.334872
0.020000,4.061580,2.456104,0.447260,1.004054,1.140970,0.000000,3.344279
0.020000,4.041706,2.451920,0.467570,1.026873,1.140970,0.000000,3.353903
0.020000,4.021429,2.447445,0.488335,1.049693,1.140970,-0.000000,3.363741
0.020000,4.000752,2.442665,0.509557,1.072512,1.140970,0.000000,3.373787
0.020000,3.979681,2.437569,0.531236,1.095331,1.140970,0.000000,3.384038
0.020000,3.958222,2.432142,0.553371,1.118151,1.140970,-0.000000,3.394486
0.020000,3.936380,2.426374,0.575962,1.140970,1.140970,0.000000,3.405126
0.020000,3.914161,2.420250,0.599009,1.163790,1.140970,0.000000,3.415949
0.020000,3.891571,2.413757,0.622513,1.186609,1.140970,-0.000000,3.426950
0.020000,3.868619,2.406884,0.646474,1.209428,1.140970,0.000000,3.438118
0.020000,3.845308,2.399617,0.670891,1.232248,1.140970,-0.000000,3.449445
0.020000,3.821648,2.391944,0.695764,1.255067,1.140970,0.000000,3.460921
0.020000,3.797646,2.383853,0.721093,1.277887,1.140970,-0.000000,3.472535
0.020000,3.773309,2.375331,0.746879,1.300706,1.140970,0.000000,3.484276
0.020000,3.748646,2.366367,0.773121,1.323526,1.140970,0.000000,3.496132
0.020000,3.723663,2.356949,0.799820,1.346345,1.140970,0.000000,3.508091
0.020000,3.698371,2.347065,0.826975,1.369164,1.140970,0.000000,3.520139
0.020000,3.672777,2.336705,0.854587,1.391984,1.140970,-0.000000,3.532262
0.020000,3.646890,2.325858,0.882655,1.414803,1.140970,0.000000,3.544447
0.020000,3.620718,2.314515,0.911179,1.437623,1.140970,-0.000000,3.556679
0.020000,3.594271,2.302665,0.940160,1.460442,1.140970,0.000000,3.568942
0.020000,3.567557,2.290300,0.969597,1.483261,1.140970,-0.000000,3.581221
0.020000,3.540586,2.277411,0.999490,1.506081,1.140970,0.000000,3.593500
0.020000,3.513365,2.263991,1.029840,1.528900,1.140970,0.000000,3.605763
0.020000,3.485903,2.250031,1.060646,1.551720,1.140970,-0.000000,3.617994
0.020000,3.458210,2.235525,1.091909,1.574539,1.140970,0.000000,3.630176
0.020000,3.430293,2.220467,1.123628,1.597358,1.140970,0.000000,3.642293
0.020000,3.402162,2.204851,1.155803,1.620178,1.140970,0.000000,3.654329
0.020000,3.373823,2.188673,1.188435,1.642997,1.140970,-0.000000,3.666268
0.020000,3.345284,2.171929,1.221523,1.665817,1.140970,0.000000,3.678092
0.020000,3.316554,2.154614,1.255067,1.688636,1.140970,-0.000000,3.689787
0.020000,3.287639,2.136727,1.289068,1.711455,1.140970,0.000000,3.701336
0.020000,3.258545,2.118264,1.323526,1.734275,1.140970,0.000000,3.712724
0.020000,3.229280,2.099226,1.358439,1.757094,1.140970,-0.000000,3.723936
0.020000,3.199848,2.079609,1.393809,1.779914,1.140970,0.000000,3.734958
0.020000,3.170255,2.059416,1.429636,1.802733,1.140970,-0.000000,3.745774
0.020000,3.140506,2.038645,1.465919,1.825552,1.140970,0.000000,3.756372
