dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.503429,3.849996,0.000013,0.001342,0.067116,3.355795,3.139052
0.020000,4.503398,3.849996,0.000045,0.001566,0.011200,-2.795780,3.139076
0.020000,4.503328,3.849996,0.000115,0.003524,0.097897,4.334858,3.139128
0.020000,4.503202,3.849996,0.000241,0.006266,0.137063,1.958259,3.139221
0.020000,4.503006,3.849997,0.000436,0.009790,0.176237,1.958733,3.139366
0.020000,4.502725,3.849997,0.000718,0.014099,0.215427,1.959508,3.139575
0.020000,4.502341,3.849998,0.001102,0.019192,0.254641,1.960656,3.139859
0.020000,4.501839,3.849999,0.001604,0.025069,0.293886,1.962246,3.140230
0.020000,4.501205,3.849999,0.002238,0.031733,0.333172,1.964346,3.140700
0.020000,4.500421,3.850000,0.003022,0.039183,0.372513,1.967015,3.141281
0.020000,4.498568,3.850000,0.004874,0.092629,2.672298,114.989264,3.141984
0.020000,4.495505,3.849997,0.007938,0.153161,3.026601,17.715140,3.142821
0.020000,4.491911,3.849991,0.011532,0.179714,1.327637,-84.948206,3.143803
0.020000,4.487739,3.849979,0.015704,0.208581,1.443356,5.785944,3.144944
0.020000,4.482950,3.849960,0.020493,0.239474,1.544678,5.066130,3.146255
0.020000,4.477497,3.849931,0.025946,0.272650,1.658801,5.706163,3.147748
0.020000,4.471340,3.849888,0.032103,0.307859,1.760404,5.080116,3.149436
0.020000,4.464453,3.849827,0.038990,0.344360,1.825049,3.232279,3.151326
0.020000,4.456837,3.849745,0.046607,0.380841,1.824062,-0.049377,3.153418
0.020000,4.448490,3.849637,0.054955,0.417370,1.826460,0.119916,3.155713
0.020000,4.439411,3.849497,0.064034,0.453989,1.830960,0.224995,3.158213
0.020000,4.429599,3.849321,0.073848,0.490691,1.835110,0.207518,3.160919
0.020000,4.419052,3.849102,0.084398,0.527469,1.838904,0.189682,3.163832
0.020000,4.407769,3.848833,0.095684,0.564316,1.842333,0.171462,3.166952
0.020000,4.395746,3.848508,0.107711,0.601357,1.852046,0.485634,3.170283
0.020000,4.382984,3.848119,0.120479,0.638417,1.852976,0.046500,3.173825
0.020000,4.369481,3.847658,0.133989,0.675503,1.854314,0.066898,3.177578
0.020000,4.355234,3.847117,0.148247,0.712886,1.869170,0.742800,3.181547
0.020000,4.340244,3.846487,0.163251,0.750181,1.864724,-0.222307,3.185731
0.020000,4.324507,3.845757,0.179004,0.787648,1.873383,0.432968,3.190131
0.020000,4.308023,3.844918,0.195510,0.825302,1.882693,0.465504,3.194751
0.020000,4.290790,3.843959,0.212769,0.862962,1.883013,0.015982,3.199591
0.020000,4.272808,3.842869,0.230784,0.900746,1.889163,0.307485,3.204653
0.020000,4.254076,3.841637,0.249557,0.938637,1.894562,0.269950,3.209938
0.020000,4.234593,3.840249,0.269089,0.976621,1.899185,0.231172,3.215448
0.020000,4.214359,3.838694,0.289383,1.014681,1.903007,0.191103,3.221184
0.020000,4.193372,3.836957,0.310441,1.052931,1.912493,0.474319,3.227148
0.020000,4.171635,3.835025,0.332265,1.091166,1.911749,-0.037219,3.233340
0.020000,4.149147,3.832883,0.354854,1.129450,1.914194,0.122242,3.239762
0.020000,4.125909,3.830516,0.378212,1.167908,1.922941,0.437361,3.246415
