dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,13.500000,0.000014,0.001382,0.069103,3.455164,0.002101
0.020000,0.000000,13.500000,0.000069,0.004146,0.138207,3.455164,0.002092
0.020000,0.000000,13.500000,0.000193,0.008292,0.207310,3.455164,0.002071
0.020000,0.000000,13.500000,0.000415,0.013821,0.276413,3.455164,0.002035
0.020000,0.000000,13.500000,0.000760,0.020731,0.345516,3.455164,0.001978
0.020000,0.000000,13.500000,0.001258,0.029023,0.414620,3.455164,0.001897
0.020000,0.000000,13.500000,0.001935,0.038698,0.483723,3.455164,0.001786
0.020000,0.000000,13.500000,0.002819,0.049754,0.552826,3.455164,0.001641
0.020000,0.000000,13.500000,0.003939,0.062193,0.621930,3.455164,0.001458
0.020000,0.000000,13.500000,0.005321,0.076014,0.691033,3.455164,0.001231
0.020000,0.000000,13.500000,0.006993,0.091216,0.760136,3.455164,0.000958
0.020000,0.000000,13.500000,0.008983,0.107801,0.829239,3.455164,0.000632
0.020000,0.000000,13.500000,0.011319,0.125768,0.898343,3.455164,0.000249
0.020000,0.001188,13.500000,0.014028,0.145117,0.967446,3.455164,6.282991
0.020000,0.004298,13.499998,0.017138,0.165848,1.036549,3.455164,6.282481
0.020000,0.007836,13.499995,0.020676,0.187961,1.105653,3.455164,6.281902
0.020000,0.011829,13.499989,0.024670,0.211456,1.174756,3.455164,6.281248
0.020000,0.016308,13.499978,0.029148,0.236333,1.243859,3.455164,6.280514
0.020000,0.021297,13.499963,0.034137,0.262592,1.312962,3.455164,6.279696
0.020000,0.026825,13.499941,0.039665,0.290234,1.382066,3.455164,6.278790
0.020000,0.032920,13.499911,0.045760,0.319257,1.451169,3.455164,6.277791
0.020000,0.039609,13.499871,0.052449,0.349663,1.520272,3.455164,6.276694
0.020000,0.046920,13.499820,0.059761,0.381450,1.589375,3.455164,6.275494
0.020000,0.054881,13.499753,0.067721,0.414620,1.658479,3.455164,6.274188
0.020000,0.063517,13.499669,0.076359,0.449171,1.727582,3.455164,6.272770
0.020000,0.072860,13.499565,0.085702,0.485105,1.796685,3.455164,6.271236
0.020000,0.082935,13.499436,0.095777,0.522421,1.865789,3.455164,6.269581
0.020000,0.093769,13.499279,0.106613,0.561119,1.934892,3.455164,6.267800
0.020000,0.105390,13.499089,0.118236,0.601199,2.003995,3.455164,6.265890
0.020000,0.117827,13.498861,0.130674,0.642661,2.073098,3.455164,6.263844
0.020000,0.131106,13.498590,0.143956,0.685505,2.142202,3.455164,6.261659
0.020000,0.145255,13.498269,0.158108,0.729731,2.211305,3.455164,6.259330
0.020000,0.160301,13.497891,0.173159,0.775339,2.280408,3.455164,6.256852
0.020000,0.176257,13.497450,0.189122,0.820947,2.280408,-0.000000,6.254223
0.020000,0.193124,13.496938,0.205997,0.866555,2.280408,0.000000,6.251442
0.020000,0.210902,13.496347,0.223784,0.912163,2.280408,0.000000,6.248510
0.020000,0.229588,13.495670,0.242483,0.957771,2.280408,-0.000000,6.245427
0.020000,0.249185,13.494898,0.262095,1.003380,2.280408,0.000000,6.242192
0.020000,0.269690,13.494022,0.282619,1.048988,2.280408,-0.000000,6.238805
0.020000,0.291103,13.493033,0.304054,1.094596,2.280408,-0.000000,6.235268
0.020000,0.313424,13.491922,0.326402,1.140204,2.280408,0.000000,6.231578
0.020000,0.336650,13.490677,0.349663,1.185812,2.280408,0.000000,6.227738
0.020000,0.360783,13.489290,0.373835,1.231420,2.280408,0.000000,6.223747
0.020000,0.385820,13.487748,0.398919,1.277029,2.280408,0.000000,6.219605
0.020000,0.411760,13.486040,0.424916,1.322637,2.280408,-0.000000,6.215314
0.020000,0.438603,13.484156,0.451825,1.368245,2.280408,0.000000,6.210872
0.020000,0.466346,13.482082,0.479646,1.413853,2.280408,0.000000,6.206281
0.020000,0.494989,13.479806,0.508379,1.459461,2.280408,0.000000,6.201541
0.020000,0.524530,13.477317,0.538024,1.505069,2.280408,0.000000,6.196653
0.020000,0.554965,13.474599,0.568582,1.550678,2.280408,0.000000,6.191618
0.020000,0.586296,13.471640,0.600051,1.596286,2.280408,-0.000000,6.186437
0.020000,0.618518,13.468427,0.632433,1.641894,2.280408,0.000000,6.181111
0.020000,0.651629,13.464943,0.665727,1.687502,2.280408,0.000000,6.175641
0.020000,0.685627,13.461176,0.699933,1.733110,2.280408,0.000000,6.170028
0.020000,0.720509,13.457110,0.735052,1.778718,2.280408,0.000000,6.164274
0.020000,0.756273,13.452731,0.771082,1.824327,2.280408,0.000000,6.158381
0.020000,0.792914,13.448022,0.808025,1.869935,2.280408,-0.000000,6.152350
0.020000,0.830429,13.442967,0.845879,1.915543,2.280408,0.000000,6.146183
0.020000,0.868816,13.437552,0.884646,1.961151,2.280408,0.000000,6.139883
0.020000,0.908070,13.431759,0.924326,2.006759,2.280408,0.000000,6.133452
0.020000,0.948187,13.425572,0.964917,2.052367,2.280408,-0.000000,6.126892
0.020000,0.989162,13.418974,1.006420,2.097976,2.280408,0.000000,6.120207
0.020000,1.030992,13.411950,1.048836,2.143584,2.280408,-0.000000,6.113399
0.020000,1.073671,13.404481,1.092164,2.189192,2.280408,0.000000,6.106471
0.020000,1.117194,13.396550,1.136403,2.234800,2.280408,0.000000,6.099428
0.020000,1.161556,13.388141,1.181556,2.280408,2.280408,0.000000,6.092272
0.020000,1.206751,13.379235,1.227620,2.326016,2.280408,0.000000,6.085007
0.020000,1.252774,13.369817,1.274596,2.371625,2.280408,0.000000,6.077638
