dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.496901,14.849996,0.000014,0.001361,0.068070,3.403524,0.002296
0.020000,2.496919,14.849996,0.000032,0.000925,-0.021809,-4.493990,0.002282
0.020000,2.496961,14.849997,0.000074,0.002082,0.057827,3.981797,0.002251
0.020000,2.497035,14.849997,0.000148,0.003701,0.080958,1.156555,0.002196
0.020000,2.497151,14.849997,0.000263,0.005783,0.104090,1.156590,0.002111
0.020000,2.497317,14.849997,0.000430,0.008327,0.127222,1.156647,0.001987
0.020000,2.497544,14.849998,0.000657,0.011334,0.150357,1.156730,0.001819
0.020000,2.497840,14.849998,0.000953,0.014804,0.173494,1.156845,0.001600
0.020000,2.498215,14.849999,0.001327,0.018737,0.196634,1.156993,0.001322
0.020000,2.498677,14.849999,0.001790,0.023132,0.219777,1.157178,0.000980
0.020000,2.499237,14.850000,0.002350,0.027991,0.242925,1.157400,0.000565
0.020000,2.499903,14.850000,0.003016,0.033312,0.266079,1.157658,0.000072
0.020000,2.502703,14.849999,0.005816,0.139988,5.333784,253.385290,6.282677
0.020000,2.506279,14.849996,0.009392,0.178807,1.940919,-169.643244,6.282005
0.020000,2.510384,14.849990,0.013496,0.205213,1.320344,-31.028765,6.281234
0.020000,2.515055,14.849979,0.018168,0.233574,1.418019,4.883760,6.280355
0.020000,2.520329,14.849961,0.023442,0.263712,1.506933,4.445698,6.279363
0.020000,2.526242,14.849935,0.029355,0.295641,1.596450,4.475828,6.278250
0.020000,2.532832,14.849899,0.035945,0.329518,1.693844,4.869722,6.277009
0.020000,2.540135,14.849849,0.043248,0.365142,1.781166,4.366081,6.275633
0.020000,2.548187,14.849782,0.051300,0.402599,1.872863,4.584871,6.274116
0.020000,2.557027,14.849694,0.060141,0.442049,1.972497,4.981656,6.272448
0.020000,2.566691,14.849581,0.069805,0.483202,2.057645,4.257422,6.270624
0.020000,2.577214,14.849439,0.080330,0.526236,2.151698,4.702664,6.268637
0.020000,2.588636,14.849260,0.091753,0.571145,2.245475,4.688833,6.266478
0.020000,2.600974,14.849040,0.104093,0.617009,2.293197,2.386101,6.264144
0.020000,2.614229,14.848771,0.117351,0.662904,2.294762,0.078257,6.261635
0.020000,2.628402,14.848446,0.131527,0.708821,2.295846,0.054214,6.258949
0.020000,2.643492,14.848059,0.146622,0.754750,2.296449,0.030115,6.256087
0.020000,2.659500,14.847601,0.162637,0.800742,2.299596,0.157374,6.253048
0.020000,2.676429,14.847063,0.179574,0.846843,2.305022,0.271278,6.249831
0.020000,2.694274,14.846437,0.197430,0.892792,2.297465,-0.377818,6.246436
0.020000,2.713040,14.845714,0.216210,0.939022,2.311522,0.702850,6.242862
0.020000,2.732724,14.844883,0.235912,0.985054,2.301597,-0.496286,6.239109
0.020000,2.753327,14.843933,0.256536,1.031242,2.309371,0.388745,6.235177
0.020000,2.774849,14.842855,0.278086,1.077471,2.311441,0.103452,6.231064
0.020000,2.797289,14.841636,0.300559,1.123661,2.309532,-0.095417,6.226770
0.020000,2.820647,14.840264,0.323957,1.169892,2.311518,0.099268,6.222296
0.020000,2.844921,14.838728,0.348280,1.216146,2.312729,0.060593,6.217641
0.020000,2.870111,14.837013,0.373528,1.262409,2.313164,0.021725,6.212805
0.020000,2.896215,14.835107,0.399701,1.308666,2.312818,-0.017315,6.207788
0.020000,2.923231,14.832996,0.426800,1.354942,2.313817,0.049991,6.202589
0.020000,2.951160,14.830664,0.454825,1.401271,2.316420,0.130107,6.197209
0.020000,2.979995,14.828098,0.483774,1.447446,2.308776,-0.382194,6.191648
0.020000,3.009736,14.825282,0.513649,1.493737,2.314533,0.287889,6.185906
0.020000,3.040379,14.822200,0.544446,1.539845,2.305396,-0.456866,6.179984
0.020000,3.071922,14.818836,0.576168,1.586095,2.312502,0.355307,6.173883
0.020000,3.104358,14.815173,0.608811,1.632142,2.302346,-0.507804,6.167603
0.020000,3.137685,14.811195,0.642374,1.678147,2.300272,-0.103708,6.161146
0.020000,3.171896,14.806884,0.676855,1.724086,2.296933,-0.166941,6.154512
0.020000,3.206986,14.802222,0.712254,1.769932,2.292333,-0.229994,6.147703
0.020000,3.242949,14.797192,0.748567,1.815662,2.286478,-0.292766,6.140722
0.020000,3.279778,14.791774,0.785792,1.861249,2.279375,-0.355153,6.133569
0.020000,3.317464,14.785952,0.823926,1.906670,2.271034,-0.417051,6.126247
0.020000,3.356001,14.779706,0.862965,1.951968,2.264877,-0.307854,6.118758
0.020000,3.395378,14.773018,0.902906,1.997068,2.255014,-0.493137,6.111106
0.020000,3.435586,14.765868,0.943745,2.041920,2.242602,-0.620590,6.103293
0.020000,3.476614,14.758237,0.985477,2.086589,2.233436,-0.458310,6.095323
0.020000,3.518451,14.750108,1.028097,2.130999,2.220496,-0.647014,6.087199
0.020000,3.561085,14.741460,1.071599,2.175103,2.205223,-0.763620,6.078926
0.020000,3.604503,14.732275,1.115977,2.218926,2.191164,-0.702952,6.070507
0.020000,3.648691,14.722535,1.161226,2.262435,2.175439,-0.786290,6.061949
0.020000,3.693634,14.712220,1.207338,2.305597,2.158100,-0.866925,6.053255
0.020000,3.739318,14.701314,1.254305,2.348381,2.139208,-0.944628,6.044432
0.020000,3.785726,14.689799,1.302121,2.390758,2.118824,-1.019180,6.035485
0.020000,3.832840,14.677656,1.350775,2.432698,2.097016,-1.090376,6.026421
0.020000,3.880645,14.664870,1.400259,2.474246,2.077397,-0.980951,6.017246
0.020000,3.929120,14.651423,1.450565,2.515254,2.050400,-1.349875,6.007967
0.020000,3.978246,14.637302,1.501681,2.555811,2.027852,-1.127383,5.998592
0.020000,4.028004,14.622489,1.553597,2.595800,1.999466,-1.419293,5.989128
0.020000,4.078374,14.606972,1.606302,2.635276,1.973764,-1.285129,5.979584
0.020000,4.129334,14.590738,1.659786,2.674175,1.944964,-1.439973,5.969968
0.020000,4.180862,14.573772,1.714035,2.712469,1.914689,-1.513758,5.960289
0.020000,4.232937,14.556065,1.769038,2.750151,1.884116,-1.528673,5.950556
0.020000,4.285536,14.537605,1.824782,2.787199,1.852400,-1.585780,5.940778
0.020000,4.338636,14.518383,1.881254,2.823595,1.819801,-1.629959,5.930965
0.020000,4.392214,14.498391,1.938441,2.859336,1.787047,-1.637717,5.921127
0.020000,4.446247,14.477620,1.996328,2.894371,1.751768,-1.763933,5.911274
0.020000,4.500711,14.456065,2.054903,2.928714,1.717148,-1.730980,5.901416
0.020000,4.555583,14.433721,2.114150,2.962354,1.682005,-1.757165,5.891564
0.020000,4.610839,14.410583,2.174055,2.995268,1.645682,-1.816149,5.881729
0.020000,4.666457,14.386649,2.234604,3.027454,1.609317,-1.818252,5.871922
0.020000,4.722414,14.361918,2.295782,3.058913,1.572948,-1.818455,5.862152
0.020000,4.778686,14.336388,2.357575,3.089631,1.535859,-1.854459,5.852432
