dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.503099,12.150004,0.000014,0.001361,0.068070,3.403524,0.002296
0.020000,2.503081,12.150004,0.000032,0.000925,-0.021809,-4.493990,0.002282
0.020000,2.503039,12.150003,0.000074,0.002082,0.057827,3.981797,0.002251
0.020000,2.502965,12.150003,0.000148,0.003701,0.080958,1.156555,0.002196
0.020000,2.502849,12.150003,0.000263,0.005783,0.104090,1.156590,0.002111
0.020000,2.502683,12.150003,0.000430,0.008327,0.127222,1.156647,0.001987
0.020000,2.502456,12.150002,0.000657,0.011334,0.150357,1.156730,0.001819
0.020000,2.502160,12.150002,0.000953,0.014804,0.173494,1.156845,0.001600
0.020000,2.501785,12.150001,0.001327,0.018737,0.196634,1.156993,0.001322
0.020000,2.501323,12.150001,0.001790,0.023132,0.219777,1.157178,0.000980
0.020000,2.500763,12.150000,0.002350,0.027991,0.242925,1.157400,0.000565
0.020000,2.500097,12.150000,0.003016,0.033312,0.266079,1.157658,0.000072
0.020000,2.501332,12.150000,0.004251,0.061757,1.422228,57.807495,6.282677
0.020000,2.503093,12.149998,0.006013,0.088067,1.315521,-5.335357,6.282005
0.020000,2.505114,12.149995,0.008034,0.101044,0.648836,-33.334277,6.281234
0.020000,2.507413,12.149990,0.010333,0.114970,0.696309,2.373662,6.280355
0.020000,2.510008,12.149981,0.012928,0.129757,0.739328,2.150937,6.279363
0.020000,2.512917,12.149968,0.015836,0.145407,0.782489,2.158069,6.278250
0.020000,2.516156,12.149950,0.019076,0.161994,0.829353,2.343216,6.277009
0.020000,2.519745,12.149926,0.022664,0.179415,0.871078,2.086234,6.275633
0.020000,2.523699,12.149893,0.026619,0.197710,0.914755,2.183866,6.274116
0.020000,2.528038,12.149850,0.030958,0.216953,0.962113,2.367890,6.272448
0.020000,2.532777,12.149794,0.035698,0.236995,1.002134,2.001040,6.270624
0.020000,2.537935,12.149725,0.040856,0.257921,1.046292,2.207888,6.268637
0.020000,2.543529,12.149637,0.046450,0.279723,1.090069,2.188869,6.266478
0.020000,2.549567,12.149529,0.052489,0.301944,1.111069,1.049998,6.264144
0.020000,2.556048,12.149398,0.058972,0.324131,1.109338,-0.086538,6.261635
0.020000,2.562972,12.149239,0.065898,0.346277,1.107296,-0.102144,6.258949
0.020000,2.570337,12.149050,0.073265,0.368376,1.104966,-0.116494,6.256087
0.020000,2.578143,12.148827,0.081074,0.390453,1.103852,-0.055681,6.253048
0.020000,2.586389,12.148565,0.089325,0.412530,1.103848,-0.000226,6.249831
0.020000,2.595073,12.148260,0.098014,0.434481,1.097555,-0.314634,6.246436
0.020000,2.604197,12.147908,0.107145,0.456518,1.101850,0.214747,6.242862
0.020000,2.613757,12.147505,0.116713,0.478410,1.094582,-0.363412,6.239109
0.020000,2.623753,12.147044,0.126719,0.500331,1.096061,0.073978,6.235177
0.020000,2.634184,12.146522,0.137164,0.522230,1.094947,-0.055725,6.231064
0.020000,2.645050,12.145931,0.148046,0.544072,1.092132,-0.140730,6.226770
0.020000,2.656348,12.145268,0.159364,0.565902,1.091478,-0.032686,6.222296
0.020000,2.668079,12.144525,0.171118,0.587717,1.090770,-0.035395,6.217641
0.020000,2.680241,12.143697,0.183308,0.609519,1.090059,-0.035544,6.212805
0.020000,2.692834,12.142778,0.195934,0.631307,1.089399,-0.033000,6.207788
0.020000,2.705856,12.141760,0.208997,0.653104,1.089873,0.023680,6.202589
0.020000,2.719308,12.140637,0.222495,0.674937,1.091660,0.089357,6.197209
0.020000,2.733188,12.139402,0.236430,0.696720,1.089119,-0.127058,6.191648
0.020000,2.747496,12.138047,0.250802,0.718594,1.093701,0.229105,6.185906
0.020000,2.762230,12.136565,0.265610,0.740431,1.091852,-0.092437,6.179984
0.020000,2.777392,12.134948,0.280858,0.762403,1.098621,0.338435,6.173883
0.020000,2.792980,12.133188,0.296545,0.784363,1.097966,-0.032750,6.167603
0.020000,2.808995,12.131276,0.312674,0.806405,1.102145,0.208942,6.161146
0.020000,2.825435,12.129205,0.329244,0.828540,1.106737,0.229588,6.154512
0.020000,2.842303,12.126964,0.346260,0.850777,1.111818,0.254052,6.147703
0.020000,2.859597,12.124545,0.363722,0.873126,1.117465,0.282374,6.140722
0.020000,2.877318,12.121938,0.381634,0.895601,1.123757,0.314571,6.133569
0.020000,2.895467,12.119134,0.399999,0.918216,1.130769,0.350630,6.126247
0.020000,2.914045,12.116123,0.418819,0.941021,1.140224,0.472760,6.118758
0.020000,2.933053,12.112894,0.438099,0.964008,1.149357,0.456638,6.111106
0.020000,2.952492,12.109438,0.457843,0.987184,1.158787,0.471475,6.103293
0.020000,2.972363,12.105742,0.478055,1.010611,1.171379,0.629618,6.095323
0.020000,2.992669,12.101796,0.498741,1.034287,1.183804,0.621269,6.087199
0.020000,3.013411,12.097589,0.519905,1.058224,1.196808,0.650161,6.078926
0.020000,3.034592,12.093108,0.541555,1.082467,1.212162,0.767712,6.070507
0.020000,3.056214,12.088342,0.563696,1.107037,1.228515,0.817658,6.061949
0.020000,3.078279,12.083278,0.586335,1.131956,1.245927,0.870601,6.053255
0.020000,3.100791,12.077904,0.609480,1.157245,1.264452,0.926230,6.044432
0.020000,3.123753,12.072206,0.633138,1.182927,1.284136,0.984202,6.035485
0.020000,3.147169,12.066171,0.657319,1.209028,1.305019,1.044141,6.026421
0.020000,3.171042,12.059785,0.682031,1.235606,1.328904,1.194293,6.017246
0.020000,3.195375,12.053036,0.707283,1.262626,1.351011,1.105315,6.007967
0.020000,3.220175,12.045907,0.733087,1.290170,1.377219,1.310395,5.998592
0.020000,3.245443,12.038385,0.759451,1.318217,1.402334,1.255756,5.989128
