dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.003344,7.650004,0.000014,0.001383,0.069171,3.458550,3.144070
0.020000,11.003327,7.650004,0.000031,0.000851,-0.026618,-4.789447,3.144057
0.020000,11.003289,7.650004,0.000069,0.001915,0.053192,3.990489,3.144029
0.020000,11.003221,7.650004,0.000137,0.003404,0.074470,1.063908,3.143978
0.020000,11.003114,7.650004,0.000244,0.005319,0.095750,1.064017,3.143900
0.020000,11.002961,7.650003,0.000397,0.007660,0.117034,1.064196,3.143786
0.020000,11.002753,7.650003,0.000605,0.010426,0.138323,1.064461,3.143632
0.020000,11.002480,7.650002,0.000878,0.013619,0.159620,1.064829,3.143430
0.020000,11.002135,7.650002,0.001222,0.017237,0.180926,1.065315,3.143175
0.020000,11.001710,7.650001,0.001648,0.021282,0.202245,1.065935,3.142859
0.020000,11.001195,7.650001,0.002163,0.025754,0.223579,1.066702,3.142478
0.020000,11.000582,7.650000,0.002776,0.030653,0.244932,1.067629,3.142024
0.020000,10.999414,7.650000,0.003944,0.058390,1.386879,57.097369,3.141490
0.020000,10.995866,7.650001,0.007492,0.177395,5.950222,228.167149,3.140872
0.020000,10.991794,7.650006,0.011564,0.203595,1.310023,-232.009947,3.140161
0.020000,10.987162,7.650014,0.016196,0.231585,1.399511,4.474411,3.139353
0.020000,10.981930,7.650028,0.021428,0.261611,1.501310,5.089943,3.138440
0.020000,10.976064,7.650050,0.027294,0.293298,1.584346,4.151768,3.137415
0.020000,10.969528,7.650081,0.033830,0.326803,1.675210,4.543231,3.136272
0.020000,10.962283,7.650124,0.041075,0.362283,1.774000,4.939470,3.135004
0.020000,10.954294,7.650182,0.049064,0.399432,1.857470,4.173508,3.133606
0.020000,10.945525,7.650259,0.057834,0.438508,1.953789,4.815986,3.132069
0.020000,10.935935,7.650359,0.067424,0.479479,2.048572,4.739153,3.130387
0.020000,10.925493,7.650485,0.077867,0.522155,2.133776,4.260164,3.128554
0.020000,10.914160,7.650644,0.089201,0.566729,2.228715,4.746948,3.126562
0.020000,10.901896,7.650842,0.101467,0.613275,2.327286,4.928572,3.124404
0.020000,10.888666,7.651085,0.114699,0.661612,2.416881,4.479734,3.122073
0.020000,10.874433,7.651380,0.128935,0.711788,2.508809,4.596429,3.119562
0.020000,10.859179,7.651737,0.144194,0.762930,2.557084,2.413720,3.116867
0.020000,10.842900,7.652163,0.160478,0.814199,2.563461,0.318860,3.113986
0.020000,10.825597,7.652667,0.177788,0.865541,2.567088,0.181356,3.110920
0.020000,10.807269,7.653260,0.196125,0.916852,2.565543,-0.077265,3.107667
0.020000,10.787918,7.653950,0.215489,0.968176,2.566183,0.032017,3.104225
0.020000,10.767536,7.654749,0.235887,1.019880,2.585220,0.951866,3.100595
0.020000,10.746131,7.655668,0.257312,1.071252,2.568575,-0.832262,3.096774
0.020000,10.723694,7.656719,0.279773,1.123081,2.591474,1.144956,3.092762
0.020000,10.700231,7.657915,0.303267,1.174681,2.579977,-0.574854,3.088558
0.020000,10.675740,7.659269,0.327795,1.226413,2.586612,0.331715,3.084161
0.020000,10.650218,7.660795,0.353363,1.278377,2.598195,0.579158,3.079569
0.020000,10.623668,7.662508,0.379968,1.330271,2.594698,-0.174849,3.074782
0.020000,10.596089,7.664422,0.407613,1.382230,2.597951,0.162664,3.069799
0.020000,10.567484,7.666554,0.436298,1.434250,2.601033,0.154078,3.064618
0.020000,10.537852,7.668920,0.466024,1.486314,2.603186,0.107694,3.059240
0.020000,10.507192,7.671536,0.496795,1.538538,2.611175,0.399429,3.053664
0.020000,10.475509,7.674422,0.528609,1.590713,2.608752,-0.121172,3.047888
0.020000,10.442806,7.677594,0.561466,1.642843,2.606524,-0.111364,3.041912
0.020000,10.409081,7.681072,0.595369,1.695172,2.616461,0.496818,3.035736
0.020000,10.374342,7.684875,0.630316,1.747349,2.608834,-0.381358,3.029360
0.020000,10.338588,7.689024,0.666310,1.799699,2.617520,0.434327,3.022784
0.020000,10.301826,7.693538,0.703348,1.851878,2.608910,-0.430484,3.016007
0.020000,10.264061,7.698440,0.741429,1.904085,2.610372,0.073058,3.009031
0.020000,10.225296,7.703751,0.780557,1.956361,2.613773,0.170059,3.001855
0.020000,10.185539,7.709492,0.820726,2.008484,2.606169,-0.380194,2.994480
0.020000,10.144797,7.715687,0.861937,2.060539,2.602739,-0.171508,2.986908
0.020000,10.103077,7.722359,0.904187,2.112506,2.598366,-0.218612,2.979140
0.020000,10.060386,7.729530,0.947476,2.164451,2.597252,-0.055728,2.971176
0.020000,10.016735,7.737225,0.991800,2.216169,2.585898,-0.567707,2.963021
0.020000,9.972137,7.745467,1.037154,2.267696,2.576333,-0.478214,2.954674
0.020000,9.926598,7.754281,1.083537,2.319182,2.574301,-0.101618,2.946140
0.020000,9.880135,7.763691,1.130943,2.370312,2.556506,-0.889730,2.937422
0.020000,9.832758,7.773721,1.179371,2.421362,2.552494,-0.200625,2.928522
0.020000,9.784484,7.784395,1.228811,2.472022,2.533010,-0.974208,2.919444
0.020000,9.735327,7.795737,1.279260,2.522427,2.520274,-0.636795,2.910194
0.020000,9.685303,7.807773,1.330710,2.572533,2.505276,-0.749892,2.900775
0.020000,9.634431,7.820525,1.383156,2.622297,2.488216,-0.852990,2.891193
0.020000,9.582730,7.834017,1.436590,2.671667,2.468480,-0.986790,2.881453
0.020000,9.530218,7.848273,1.491002,2.720617,2.447516,-1.048203,2.871563
0.020000,9.476918,7.863314,1.546384,2.769098,2.424040,-1.173828,2.861528
0.020000,9.422851,7.879164,1.602725,2.817074,2.398828,-1.260606,2.851355
0.020000,9.368041,7.895842,1.660017,2.864584,2.375459,-1.168455,2.841053
0.020000,9.312512,7.913370,1.718247,2.911508,2.346216,-1.462121,2.830630
0.020000,9.256288,7.931768,1.777404,2.957864,2.317813,-1.420176,2.820093
0.020000,9.199396,7.951053,1.837476,3.003567,2.285122,-1.634528,2.809454
0.020000,9.141863,7.971243,1.898449,3.048674,2.255383,-1.486974,2.798720
0.020000,9.083716,7.992356,1.960311,3.093074,2.219962,-1.771024,2.787902
