dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,9.000000,0.000014,0.001383,0.069171,3.458550,3.144070
0.020000,11.000000,9.000000,0.000069,0.004150,0.138342,3.458550,3.144057
0.020000,11.000000,9.000000,0.000194,0.008301,0.207513,3.458550,3.144029
0.020000,11.000000,9.000000,0.000415,0.013834,0.276684,3.458550,3.143978
0.020000,11.000000,9.000000,0.000761,0.020751,0.345855,3.458550,3.143900
0.020000,11.000000,9.000000,0.001259,0.029052,0.415026,3.458550,3.143786
0.020000,11.000000,9.000000,0.001937,0.038736,0.484197,3.458550,3.143632
0.020000,11.000000,9.000000,0.002822,0.049803,0.553368,3.458550,3.143430
0.020000,11.000000,9.000000,0.003943,0.062254,0.622539,3.458550,3.143175
0.020000,11.000000,9.000000,0.005326,0.076088,0.691710,3.458550,3.142859
0.020000,11.000000,9.000000,0.007000,0.091306,0.760881,3.458550,3.142478
0.020000,11.000000,9.000000,0.008992,0.107907,0.830052,3.458550,3.142024
0.020000,10.999552,9.000000,0.011330,0.125891,0.899223,3.458550,3.141490
0.020000,10.996839,9.000001,0.014042,0.145259,0.968394,3.458550,3.140872
0.020000,10.993726,9.000004,0.017154,0.166010,1.037565,3.458550,3.140161
0.020000,10.990186,9.000011,0.020696,0.188145,1.106736,3.458550,3.139353
0.020000,10.986187,9.000022,0.024694,0.211663,1.175907,3.458550,3.138440
0.020000,10.981705,9.000038,0.029176,0.236565,1.245078,3.458550,3.137415
0.020000,10.976711,9.000062,0.034170,0.262850,1.314249,3.458550,3.136272
0.020000,10.971177,9.000095,0.039704,0.290518,1.383420,3.458550,3.135004
0.020000,10.965077,9.000139,0.045805,0.319570,1.452591,3.458550,3.133606
0.020000,10.958381,9.000198,0.052501,0.350005,1.521762,3.458550,3.132069
0.020000,10.951063,9.000274,0.059819,0.381824,1.590933,3.458550,3.130387
0.020000,10.943095,9.000370,0.067788,0.415026,1.660104,3.458550,3.128554
0.020000,10.934451,9.000492,0.076434,0.449612,1.729275,3.458550,3.126562
0.020000,10.925100,9.000642,0.085786,0.485580,1.798446,3.458550,3.124404
0.020000,10.915016,9.000827,0.095871,0.522933,1.867617,3.458550,3.122073
0.020000,10.904172,9.001053,0.106717,0.561669,1.936788,3.458550,3.119562
0.020000,10.892555,9.001324,0.118338,0.600404,1.936788,0.000000,3.116867
0.020000,10.880164,9.001649,0.130733,0.639140,1.936788,0.000000,3.113986
0.020000,10.866998,9.002032,0.143903,0.677876,1.936788,-0.000000,3.110920
0.020000,10.853061,9.002483,0.157848,0.716612,1.936788,0.000000,3.107667
0.020000,10.838352,9.003007,0.172568,0.755347,1.936788,0.000000,3.104225
0.020000,10.822868,9.003614,0.188062,0.794083,1.936788,-0.000000,3.100595
0.020000,10.806615,9.004312,0.204331,0.832819,1.936788,0.000000,3.096774
0.020000,10.789589,9.005110,0.221375,0.871555,1.936788,-0.000000,3.092762
0.020000,10.771794,9.006017,0.239193,0.910290,1.936788,-0.000000,3.088558
0.020000,10.753230,9.007043,0.257787,0.949026,1.936788,0.000000,3.084161
0.020000,10.733896,9.008200,0.277154,0.987762,1.936788,0.000000,3.079569
0.020000,10.713795,9.009496,0.297297,1.026498,1.936788,0.000000,3.074782
0.020000,10.692928,9.010945,0.318214,1.065233,1.936788,-0.000000,3.069799
0.020000,10.671296,9.012557,0.339906,1.103969,1.936788,-0.000000,3.064618
0.020000,10.648902,9.014344,0.362373,1.142705,1.936788,0.000000,3.059240
0.020000,10.625744,9.016321,0.385615,1.181441,1.936788,0.000000,3.053664
0.020000,10.601826,9.018499,0.409631,1.220177,1.936788,0.000000,3.047888
0.020000,10.577152,9.020892,0.434422,1.258912,1.936788,0.000000,3.041912
0.020000,10.551721,9.023515,0.459987,1.297648,1.936788,0.000000,3.035736
0.020000,10.525537,9.026381,0.486327,1.336384,1.936788,-0.000000,3.029360
0.020000,10.498602,9.029507,0.513443,1.375120,1.936788,0.000000,3.022784
0.020000,10.470921,9.032906,0.541332,1.413855,1.936788,0.000000,3.016007
0.020000,10.442496,9.036596,0.569997,1.452591,1.936788,0.000000,3.009031
0.020000,10.413329,9.040592,0.599436,1.491327,1.936788,0.000000,3.001855
0.020000,10.383425,9.044910,0.629650,1.530063,1.936788,0.000000,2.994480
