dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.996656,10.349996,0.000014,0.001383,0.069171,3.458550,3.144070
0.020000,10.996673,10.349996,0.000031,0.000851,-0.026618,-4.789447,3.144057
0.020000,10.996711,10.349996,0.000069,0.001915,0.053192,3.990489,3.144029
0.020000,10.996779,10.349996,0.000137,0.003404,0.074470,1.063908,3.143978
0.020000,10.996886,10.349996,0.000244,0.005319,0.095750,1.064017,3.143900
0.020000,10.997039,10.349997,0.000397,0.007660,0.117034,1.064196,3.143786
0.020000,10.997247,10.349997,0.000605,0.010426,0.138323,1.064461,3.143632
0.020000,10.997520,10.349998,0.000878,0.013619,0.159620,1.064829,3.143430
0.020000,10.997865,10.349998,0.001222,0.017237,0.180926,1.065315,3.143175
0.020000,10.998290,10.349999,0.001648,0.021282,0.202245,1.065935,3.142859
0.020000,10.998805,10.349999,0.002163,0.025754,0.223579,1.066702,3.142478
0.020000,10.999418,10.350000,0.002776,0.030653,0.244932,1.067629,3.142024
0.020000,10.999690,10.350000,0.003048,0.013576,-0.853815,-54.937340,3.141490
0.020000,10.997812,10.350001,0.004925,0.093874,4.014907,243.436097,3.140872
0.020000,10.995658,10.350003,0.007079,0.107701,0.691346,-166.178028,3.140161
0.020000,10.993209,10.350008,0.009528,0.122459,0.737881,2.326757,3.139353
0.020000,10.990444,10.350015,0.012294,0.138274,0.790737,2.642792,3.138440
0.020000,10.987345,10.350026,0.015393,0.154943,0.833463,2.136281,3.137415
0.020000,10.983894,10.350043,0.018844,0.172545,0.880097,2.331730,3.136272
0.020000,10.980071,10.350066,0.022667,0.191158,0.930657,2.527960,3.135004
0.020000,10.975859,10.350096,0.026879,0.210615,0.972850,2.109654,3.133606
0.020000,10.971238,10.350137,0.031500,0.231045,1.021518,2.433410,3.132069
0.020000,10.966190,10.350189,0.036549,0.252426,1.069041,2.376154,3.130387
0.020000,10.960697,10.350256,0.042042,0.274650,1.111169,2.106417,3.128554
0.020000,10.954741,10.350339,0.047998,0.297811,1.158050,2.344025,3.126562
0.020000,10.948304,10.350443,0.054437,0.321939,1.206435,2.419263,3.124404
0.020000,10.941366,10.350570,0.061375,0.346933,1.249686,2.162566,3.122073
0.020000,10.933911,10.350725,0.068831,0.372808,1.293734,2.202389,3.119562
0.020000,10.925932,10.350912,0.076813,0.399098,1.314517,1.039141,3.116867
0.020000,10.917427,10.351134,0.085321,0.425360,1.313097,-0.071022,3.113986
0.020000,10.908400,10.351397,0.094352,0.451561,1.310046,-0.152508,3.110920
0.020000,10.898852,10.351706,0.103905,0.477644,1.304144,-0.295140,3.107667
0.020000,10.888786,10.352065,0.113977,0.503629,1.299264,-0.243962,3.104225
