dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.503344,14.849996,0.000014,0.001383,0.069171,3.458550,6.280708
0.020000,2.503327,14.849996,0.000031,0.000851,-0.026618,-4.789447,6.280721
0.020000,2.503289,14.849996,0.000069,0.001915,0.053192,3.990489,6.280749
0.020000,2.503221,14.849996,0.000137,0.003404,0.074470,1.063908,6.280800
0.020000,2.503114,14.849996,0.000244,0.005319,0.095750,1.064017,6.280878
0.020000,2.502961,14.849997,0.000397,0.007660,0.117034,1.064196,6.280992
0.020000,2.502753,14.849997,0.000605,0.010426,0.138323,1.064461,6.281146
0.020000,2.502480,14.849998,0.000878,0.013619,0.159620,1.064829,6.281348
0.020000,2.502135,14.849998,0.001222,0.017237,0.180926,1.065315,6.281603
0.020000,2.501710,14.849999,0.001648,0.021282,0.202245,1.065935,6.281919
0.020000,2.501195,14.849999,0.002163,0.025754,0.223579,1.066702,6.282300
0.020000,2.500582,14.850000,0.002776,0.030653,0.244932,1.067629,6.282754
0.020000,2.500310,14.850000,0.003048,0.013576,-0.853815,-54.937340,0.000102
0.020000,2.502188,14.850001,0.004925,0.093874,4.014907,243.436097,0.000721
0.020000,2.504342,14.850003,0.007079,0.107701,0.691346,-166.178028,0.001431
0.020000,2.506791,14.850008,0.009528,0.122459,0.737881,2.326757,0.002240
0.020000,2.509556,14.850015,0.012294,0.138274,0.790737,2.642792,0.003153
0.020000,2.512655,14.850026,0.015393,0.154943,0.833463,2.136281,0.004178
0.020000,2.516106,14.850043,0.018844,0.172545,0.880097,2.331730,0.005321
0.020000,2.519929,14.850066,0.022667,0.191158,0.930657,2.527960,0.006588
0.020000,2.524141,14.850096,0.026879,0.210615,0.972850,2.109654,0.007987
0.020000,2.528762,14.850137,0.031500,0.231045,1.021518,2.433410,0.009524
0.020000,2.533810,14.850189,0.036549,0.252426,1.069041,2.376154,0.011205
0.020000,2.539303,14.850256,0.042042,0.274650,1.111169,2.106417,0.013039
0.020000,2.545259,14.850339,0.047998,0.297811,1.158050,2.344025,0.015031
0.020000,2.551696,14.850443,0.054437,0.321939,1.206435,2.419263,0.017189
0.020000,2.558634,14.850570,0.061375,0.346933,1.249686,2.162566,0.019520
0.020000,2.566089,14.850725,0.068831,0.372808,1.293734,2.202389,0.022031
0.020000,2.574068,14.850912,0.076813,0.399098,1.314517,1.039141,0.024726
0.020000,2.582573,14.851134,0.085321,0.425360,1.313097,-0.071022,0.027606
0.020000,2.591600,14.851397,0.094352,0.451561,1.310046,-0.152508,0.030673
0.020000,2.601148,14.851706,0.103905,0.477644,1.304144,-0.295140,0.033926
0.020000,2.611214,14.852065,0.113977,0.503629,1.299264,-0.243962,0.037367
0.020000,2.621800,14.852480,0.124571,0.529706,1.303848,0.229193,0.040998
0.020000,2.632900,14.852956,0.135681,0.555503,1.289835,-0.700668,0.044818
0.020000,2.644516,14.853501,0.147310,0.581429,1.296327,0.324616,0.048831
0.020000,2.656643,14.854119,0.159453,0.607130,1.285016,-0.565581,0.053035
0.020000,2.669279,14.854818,0.172108,0.632793,1.283175,-0.092036,0.057432
0.020000,2.682425,14.855604,0.185278,0.658473,1.283991,0.040819,0.062024
0.020000,2.696077,14.856484,0.198958,0.684017,1.277205,-0.339288,0.066811
0.020000,2.710233,14.857467,0.213148,0.709500,1.274137,-0.153402,0.071794
0.020000,2.724891,14.858559,0.227847,0.734925,1.271274,-0.143186,0.076974
0.020000,2.740048,14.859769,0.243053,0.760291,1.268293,-0.149037,0.082352
0.020000,2.755705,14.861105,0.258766,0.785665,1.268718,0.021238,0.087929
0.020000,2.771857,14.862576,0.274985,0.810952,1.264320,-0.219912,0.093705
0.020000,2.788502,14.864191,0.291708,0.836164,1.260613,-0.185316,0.099681
0.020000,2.805640,14.865958,0.308937,0.861439,1.263754,0.157023,0.105856
0.020000,2.823267,14.867888,0.326669,0.886613,1.258705,-0.252436,0.112232
0.020000,2.841383,14.869990,0.344907,0.911869,1.262773,0.203404,0.118809
0.020000,2.859984,14.872274,0.363648,0.937049,1.258996,-0.188859,0.125585
0.020000,2.879069,14.874752,0.382893,0.962276,1.261347,0.117535,0.132562
0.020000,2.898639,14.877432,0.402645,0.987591,1.265788,0.222093,0.139738
0.020000,2.918689,14.880328,0.422903,1.012909,1.265893,0.005238,0.147112
0.020000,2.939219,14.883450,0.443669,1.038298,1.269434,0.177039,0.154685
0.020000,2.960227,14.886809,0.464945,1.063776,1.273929,0.224776,0.162453
0.020000,2.981714,14.890419,0.486733,1.089408,1.281600,0.383504,0.170416
0.020000,3.003678,14.894291,0.509035,1.115124,1.285758,0.207911,0.178572
0.020000,3.026118,14.898438,0.531855,1.140975,1.292566,0.340433,0.186918
0.020000,3.049034,14.902873,0.555196,1.167075,1.305016,0.622489,0.195452
0.020000,3.072425,14.907610,0.579062,1.193305,1.311487,0.323555,0.204171
0.020000,3.096293,14.912663,0.603459,1.219844,1.326947,0.772975,0.213071
0.020000,3.120637,14.918046,0.628391,1.246579,1.336758,0.490573,0.222149
0.020000,3.145457,14.923773,0.653863,1.273623,1.352196,0.771881,0.231399
0.020000,3.170755,14.929860,0.679883,1.300999,1.368803,0.830359,0.240818
0.020000,3.196532,14.936321,0.706458,1.328734,1.386749,0.897302,0.250400
