dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.496656,12.150004,0.000014,0.001383,0.069171,3.458550,6.280708
0.020000,2.496673,12.150004,0.000031,0.000851,-0.026618,-4.789447,6.280721
0.020000,2.496711,12.150004,0.000069,0.001915,0.053192,3.990489,6.280749
0.020000,2.496779,12.150004,0.000137,0.003404,0.074470,1.063908,6.280800
0.020000,2.496886,12.150004,0.000244,0.005319,0.095750,1.064017,6.280878
0.020000,2.497039,12.150003,0.000397,0.007660,0.117034,1.064196,6.280992
0.020000,2.497247,12.150003,0.000605,0.010426,0.138323,1.064461,6.281146
0.020000,2.497520,12.150002,0.000878,0.013619,0.159620,1.064829,6.281348
0.020000,2.497865,12.150002,0.001222,0.017237,0.180926,1.065315,6.281603
0.020000,2.498290,12.150001,0.001648,0.021282,0.202245,1.065935,6.281919
0.020000,2.498805,12.150001,0.002163,0.025754,0.223579,1.066702,6.282300
0.020000,2.499418,12.150000,0.002776,0.030653,0.244932,1.067629,6.282754
0.020000,2.500586,12.150000,0.003944,0.058390,1.386879,57.097369,0.000102
0.020000,2.504134,12.150001,0.007492,0.177395,5.950222,228.167149,0.000721
0.020000,2.508206,12.150006,0.011564,0.203595,1.310023,-232.009947,0.001431
0.020000,2.512838,12.150014,0.016196,0.231585,1.399511,4.474411,0.002240
0.020000,2.518070,12.150028,0.021428,0.261611,1.501310,5.089943,0.003153
0.020000,2.523936,12.150050,0.027294,0.293298,1.584346,4.151768,0.004178
0.020000,2.530472,12.150081,0.033830,0.326803,1.675210,4.543231,0.005321
0.020000,2.537717,12.150124,0.041075,0.362283,1.774000,4.939470,0.006588
0.020000,2.545706,12.150182,0.049064,0.399432,1.857470,4.173508,0.007987
0.020000,2.554475,12.150259,0.057834,0.438508,1.953789,4.815986,0.009524
0.020000,2.564065,12.150359,0.067424,0.479479,2.048572,4.739153,0.011205
0.020000,2.574507,12.150485,0.077867,0.522155,2.133776,4.260164,0.013039
0.020000,2.585840,12.150644,0.089201,0.566729,2.228715,4.746948,0.015031
0.020000,2.598104,12.150842,0.101467,0.613275,2.327286,4.928572,0.017189
0.020000,2.611334,12.151085,0.114699,0.661612,2.416881,4.479734,0.019520
0.020000,2.625567,12.151380,0.128935,0.711788,2.508809,4.596429,0.022031
0.020000,2.640821,12.151737,0.144194,0.762930,2.557084,2.413720,0.024726
