dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.996656,16.650004,0.000014,0.001383,0.069171,3.458550,3.139116
0.020000,10.996673,16.650004,0.000031,0.000851,-0.026618,-4.789447,3.139128
0.020000,10.996711,16.650004,0.000069,0.001915,0.053192,3.990489,3.139156
0.020000,10.996779,16.650004,0.000137,0.003404,0.074470,1.063908,3.139207
0.020000,10.996886,16.650004,0.000244,0.005319,0.095750,1.064017,3.139286
0.020000,10.997039,16.650003,0.000397,0.007660,0.117034,1.064196,3.139399
0.020000,10.997247,16.650003,0.000605,0.010426,0.138323,1.064461,3.139554
0.020000,10.997520,16.650002,0.000878,0.013619,0.159620,1.064829,3.139755
0.020000,10.997865,16.650002,0.001222,0.017237,0.180926,1.065315,3.140011
0.020000,10.998290,16.650001,0.001648,0.021282,0.202245,1.065935,3.140326
0.020000,10.998805,16.650001,0.002163,0.025754,0.223579,1.066702,3.140708
0.020000,10.999418,16.650000,0.002776,0.030653,0.244932,1.067629,3.141162
0.020000,10.999690,16.650000,0.003048,0.013576,-0.853815,-54.937340,3.141695
0.020000,10.997812,16.649999,0.004925,0.093874,4.014907,243.436097,3.142313
0.020000,10.995658,16.649997,0.007079,0.107701,0.691346,-166.178028,3.143024
0.020000,10.993209,16.649992,0.009528,0.122459,0.737881,2.326757,3.143832
0.020000,10.990444,16.649985,0.012294,0.138274,0.790737,2.642792,3.144746
0.020000,10.987345,16.649974,0.015393,0.154943,0.833463,2.136281,3.145771
0.020000,10.983894,16.649957,0.018844,0.172545,0.880097,2.331730,3.146913
0.020000,10.980071,16.649934,0.022667,0.191158,0.930657,2.527960,3.148181
0.020000,10.975859,16.649904,0.026879,0.210615,0.972850,2.109654,3.149580
0.020000,10.971238,16.649863,0.031500,0.231045,1.021518,2.433410,3.151116
0.020000,10.966190,16.649811,0.036549,0.252426,1.069041,2.376154,3.152798
0.020000,10.960697,16.649744,0.042042,0.274650,1.111169,2.106417,3.154632
0.020000,10.954741,16.649661,0.047998,0.297811,1.158050,2.344025,3.156624
0.020000,10.948304,16.649557,0.054437,0.321939,1.206435,2.419263,3.158782
0.020000,10.941366,16.649430,0.061375,0.346933,1.249686,2.162566,3.161113
0.020000,10.933911,16.649275,0.068831,0.372808,1.293734,2.202389,3.163623
0.020000,10.925932,16.649088,0.076813,0.399098,1.314517,1.039141,3.166319
0.020000,10.917427,16.648866,0.085321,0.425360,1.313097,-0.071022,3.169199
0.020000,10.908400,16.648603,0.094352,0.451561,1.310046,-0.152508,3.172265
0.020000,10.898852,16.648294,0.103905,0.477644,1.304144,-0.295140,3.175519
0.020000,10.888786,16.647935,0.113977,0.503629,1.299264,-0.243962,3.178960
0.020000,10.878200,16.647520,0.124571,0.529706,1.303848,0.229193,3.182591
0.020000,10.867100,16.647044,0.135681,0.555503,1.289835,-0.700668,3.186411
0.020000,10.855484,16.646499,0.147310,0.581429,1.296327,0.324616,3.190423
0.020000,10.843357,16.645881,0.159453,0.607130,1.285016,-0.565581,3.194627
0.020000,10.830721,16.645182,0.172108,0.632793,1.283175,-0.092036,3.199025
0.020000,10.817575,16.644396,0.185278,0.658473,1.283991,0.040819,3.203617
0.020000,10.803923,16.643516,0.198958,0.684017,1.277205,-0.339288,3.208404
0.020000,10.789767,16.642533,0.213148,0.709500,1.274137,-0.153402,3.213387
0.020000,10.775109,16.641441,0.227847,0.734925,1.271274,-0.143186,3.218567
0.020000,10.759952,16.640231,0.243053,0.760291,1.268293,-0.149037,3.223945
0.020000,10.744295,16.638895,0.258766,0.785665,1.268718,0.021238,3.229522
0.020000,10.728143,16.637424,0.274985,0.810952,1.264320,-0.219912,3.235298
0.020000,10.711498,16.635809,0.291708,0.836164,1.260613,-0.185316,3.241273
0.020000,10.694360,16.634042,0.308937,0.861439,1.263754,0.157023,3.247449
0.020000,10.676733,16.632112,0.326669,0.886613,1.258705,-0.252436,3.253825
0.020000,10.658617,16.630010,0.344907,0.911869,1.262773,0.203404,3.260401
0.020000,10.640016,16.627726,0.363648,0.937049,1.258996,-0.188859,3.267178
0.020000,10.620931,16.625248,0.382893,0.962276,1.261347,0.117535,3.274154
0.020000,10.601361,16.622568,0.402645,0.987591,1.265788,0.222093,3.281330
0.020000,10.581311,16.619672,0.422903,1.012909,1.265893,0.005238,3.288705
0.020000,10.560781,16.616550,0.443669,1.038298,1.269434,0.177039,3.296277
0.020000,10.539773,16.613191,0.464945,1.063776,1.273929,0.224776,3.304046
0.020000,10.518286,16.609581,0.486733,1.089408,1.281600,0.383504,3.312009
0.020000,10.496322,16.605709,0.509035,1.115124,1.285758,0.207911,3.320165
0.020000,10.473882,16.601562,0.531855,1.140975,1.292566,0.340433,3.328511
0.020000,10.450966,16.597127,0.555196,1.167075,1.305016,0.622489,3.337045
0.020000,10.427575,16.592390,0.579062,1.193305,1.311487,0.323555,3.345764
0.020000,10.403707,16.587337,0.603459,1.219844,1.326947,0.772975,3.354664
0.020000,10.379363,16.581954,0.628391,1.246579,1.336758,0.490573,3.363741
0.020000,10.354543,16.576227,0.653863,1.273623,1.352196,0.771881,3.372992
0.020000,10.329245,16.570140,0.679883,1.300999,1.368803,0.830359,3.382410
0.020000,10.303468,16.563679,0.706458,1.328734,1.386749,0.897302,3.391992
0.020000,10.277210,16.556826,0.733595,1.356850,1.405779,0.951491,3.401732
0.020000,10.250470,16.549567,0.761303,1.385383,1.426671,1.044585,3.411622
0.020000,10.223247,16.541884,0.789590,1.414359,1.448803,1.106608,3.421658
0.020000,10.195536,16.533761,0.818466,1.443811,1.472585,1.189103,3.431830
0.020000,10.167337,16.525180,0.847942,1.473808,1.499862,1.363852,3.442132
0.020000,10.138646,16.516124,0.878029,1.504341,1.526662,1.340018,3.452556
0.020000,10.109459,16.506573,0.908738,1.535469,1.556399,1.486863,3.463092
0.020000,10.079774,16.496510,0.940082,1.567197,1.586372,1.498636,3.473732
0.020000,10.049587,16.485916,0.972074,1.599602,1.620281,1.695463,3.484466
0.020000,10.018894,16.474772,1.004728,1.632673,1.653538,1.662811,3.495283
0.020000,9.987692,16.463058,1.038057,1.666450,1.688833,1.764750,3.506175
0.020000,9.955976,16.450753,1.072076,1.700964,1.725731,1.844932,3.517128
0.020000,9.923742,16.437839,1.106801,1.736240,1.763795,1.903204,3.528133
0.020000,9.890985,16.424295,1.142247,1.772303,1.803116,1.966010,3.539178
0.020000,9.857702,16.410100,1.178430,1.809180,1.843858,2.037137,3.550250
0.020000,9.823889,16.395233,1.215368,1.846866,1.884333,2.023737,3.561338
0.020000,9.789540,16.379675,1.253076,1.885400,1.926664,2.116543,3.572428
0.020000,9.754652,16.363404,1.291572,1.924788,1.969436,2.138613,3.583509
0.020000,9.719221,16.346399,1.330872,1.965039,2.012536,2.154982,3.594568
0.020000,9.683242,16.328640,1.370996,2.006160,2.056026,2.174487,3.605591
0.020000,9.646711,16.310106,1.411959,2.048160,2.099998,2.198618,3.616566
0.020000,9.609625,16.290777,1.453779,2.091035,2.143778,2.189002,3.627480
0.020000,9.571980,16.270633,1.496475,2.134787,2.187575,2.189832,3.638319
0.020000,9.533773,16.249655,1.540063,2.179411,2.231212,2.181867,3.649071
0.020000,9.494999,16.227822,1.584561,2.224901,2.274520,2.165397,3.659723
0.020000,9.455656,16.205116,1.629986,2.271247,2.317284,2.138217,3.670262
0.020000,9.415740,16.181519,1.676355,2.318436,2.359431,2.107360,3.680676
0.020000,9.375250,16.157013,1.723684,2.366461,2.401251,2.090975,3.690952
0.020000,9.334180,16.131581,1.771990,2.415300,2.441971,2.036012,3.701079
0.020000,9.292530,16.105207,1.821289,2.464934,2.481684,1.985635,3.711044
0.020000,9.250296,16.077874,1.871596,2.515355,2.521049,1.968258,3.720836
0.020000,9.207475,16.049569,1.922927,2.566535,2.558998,1.897462,3.730444
0.020000,9.164064,16.020277,1.975296,2.618448,2.595646,1.832386,3.739857
0.020000,9.120061,15.989985,2.028718,2.671090,2.632134,1.824412,3.749063
0.020000,9.075462,15.958681,2.083206,2.724429,2.666956,1.741106,3.758053
0.020000,9.030273,15.926361,2.138764,2.777872,2.672123,0.258326,3.766815
0.020000,8.984510,15.893028,2.195380,2.830802,2.646510,-1.280634,3.775336
0.020000,8.938186,15.858688,2.253043,2.883164,2.618074,-1.421793,3.783604
0.020000,8.891318,15.823350,2.311741,2.934900,2.586845,-1.561482,3.791608
0.020000,8.843918,15.787023,2.371460,2.985958,2.552868,-1.698852,3.799337
0.020000,8.796001,15.749719,2.432186,3.036282,2.516205,-1.833122,3.806781
0.020000,8.747581,15.711452,2.493902,3.085806,2.476192,-2.000652,3.813933
0.020000,8.698670,15.672238,2.556592,3.134497,2.434569,-2.081176,3.820783
0.020000,8.649280,15.632095,2.620238,3.182313,2.390781,-2.189363,3.827324
0.020000,8.599424,15.591041,2.684821,3.229171,2.342928,-2.392692,3.833551
0.020000,8.549113,15.549097,2.750323,3.275077,2.295265,-2.383117,3.839456
0.020000,8.498358,15.506287,2.816722,3.319947,2.243542,-2.586152,3.845034
0.020000,8.447168,15.462634,2.883997,3.363778,2.191532,-2.600521,3.850281
0.020000,8.395553,15.418164,2.952127,3.406499,2.136068,-2.773174,3.855192
0.020000,8.343522,15.372903,3.021090,3.448118,2.080922,-2.757333,3.859763
0.020000,8.291082,15.326880,3.090861,3.488563,2.022233,-2.934452,3.863992
0.020000,8.238241,15.280125,3.161418,3.527837,1.963733,-2.924959,3.867874
0.020000,8.185005,15.232667,3.232736,3.565907,1.903504,-3.011473,3.871407
0.020000,8.131381,15.184539,3.304791,3.602734,1.841328,-3.108811,3.874589
0.020000,8.077373,15.135773,3.377557,3.638318,1.779193,-3.106731,3.877419
0.020000,8.022987,15.086402,3.451010,3.672632,1.715715,-3.173909,3.879894
0.020000,7.968227,15.036462,3.525123,3.705655,1.651163,-3.227618,3.882012
0.020000,7.913095,14.985987,3.599870,3.737368,1.585641,-3.276067,3.883774
0.020000,7.857596,14.935014,3.675225,3.767768,1.520003,-3.281888,3.885178
0.020000,7.801732,14.883579,3.751162,3.796834,1.453277,-3.336344,3.886222
0.020000,7.745504,14.831720,3.827653,3.824552,1.385910,-3.368342,3.886908
0.020000,7.688915,14.779476,3.904671,3.850910,1.317916,-3.399690,3.887233
0.020000,7.631971,14.726886,3.982185,3.875669,1.237962,-3.997714,3.887199
0.020000,7.574675,14.673996,4.060161,3.898810,1.157044,-4.045893,3.886805
0.020000,7.517028,14.620843,4.138572,3.920548,1.086881,-3.508132,3.886051
0.020000,7.459034,14.567469,4.217389,3.940871,1.016144,-3.536857,3.884938
0.020000,7.400691,14.513914,4.296585,3.959772,0.945045,-3.554947,3.883466
0.020000,7.342003,14.460220,4.376129,3.977229,0.872843,-3.610115,3.881637
0.020000,7.282971,14.406429,4.455994,3.993230,0.800090,-3.637652,3.879451
0.020000,7.223596,14.352582,4.536149,4.007763,0.726625,-3.673258,3.876910
0.020000,7.163882,14.298721,4.616566,4.020821,0.652903,-3.686084,3.874015
0.020000,7.103830,14.244890,4.697213,4.032364,0.577139,-3.788175,3.870768
0.020000,7.043445,14.191132,4.778060,4.042381,0.500859,-3.814017,3.867171
0.020000,6.982730,14.137489,4.859078,4.050870,0.424472,-3.819339,3.863227
0.020000,6.921691,14.084006,4.940233,4.057777,0.345317,-3.957758,3.858937
0.020000,6.860334,14.030726,5.021495,4.063086,0.265485,-3.991594,3.854306
0.020000,6.798665,13.977692,5.102831,4.066794,0.185360,-4.006264,3.849336
0.020000,6.736694,13.924950,5.184207,4.068817,0.101190,-4.208513,3.844033
0.020000,6.674430,13.872543,5.265591,4.069190,0.018647,-4.127131,3.838399
0.020000,6.611885,13.820516,5.346947,4.067801,-0.069458,-4.405255,3.832441
0.020000,6.549070,13.768911,5.428241,4.064693,-0.155403,-4.297252,3.826164
0.020000,6.486002,13.717774,5.509436,4.059747,-0.247314,-4.595555,3.819574
0.020000,6.422696,13.667148,5.590495,4.052968,-0.338917,-4.580124,3.812678
0.020000,6.359171,13.617077,5.671381,4.044308,-0.433013,-4.704807,3.805483
0.020000,6.295448,13.567603,5.752055,4.033689,-0.530945,-4.896632,3.797998
0.020000,6.231550,13.518770,5.832477,4.021082,-0.630365,-4.970969,3.790232
0.020000,6.167502,13.470620,5.912606,4.006433,-0.732449,-5.104211,3.782194
0.020000,6.103332,13.423193,5.992399,3.989687,-0.837298,-5.242431,3.773896
0.020000,6.039071,13.376531,6.071815,3.970787,-0.944991,-5.384667,3.765348
0.020000,5.974752,13.330672,6.150809,3.949675,-1.055586,-5.529743,3.756563
0.020000,5.910406,13.285653,6.229340,3.926565,-1.155504,-4.995893,3.747554
0.020000,5.846053,13.241497,6.307384,3.902230,-1.216784,-3.064014,3.738331
0.020000,5.781707,13.198223,6.384928,3.877189,-1.252024,-1.761999,3.728905
0.020000,5.717382,13.155847,6.461957,3.851437,-1.287602,-1.778922,3.719287
0.020000,5.653094,13.114385,6.538456,3.824942,-1.324760,-1.857905,3.709487
0.020000,5.588861,13.073851,6.614409,3.797675,-1.363375,-1.930708,3.699518
0.020000,5.524701,13.034259,6.689802,3.769638,-1.401822,-1.922361,3.689390
0.020000,5.460634,12.995622,6.764618,3.740796,-1.442107,-2.014250,3.679115
0.020000,5.396682,12.957950,6.838841,3.711135,-1.483052,-2.047247,3.668706
0.020000,5.332867,12.921254,6.912454,3.680647,-1.524389,-2.066849,3.658175
0.020000,5.269214,12.885543,6.985440,3.649319,-1.566419,-2.101508,3.647534
0.020000,5.205748,12.850822,7.057783,3.617131,-1.609397,-2.148910,3.636796
0.020000,5.142494,12.817099,7.129464,3.584081,-1.652500,-2.155136,3.625974
0.020000,5.079481,12.784378,7.200467,3.550161,-1.695967,-2.173356,3.615080
0.020000,5.016734,12.752660,7.270775,3.515368,-1.739688,-2.186054,3.604128
0.020000,4.954283,12.721948,7.340369,3.479703,-1.783228,-2.177001,3.593131
0.020000,4.892157,12.692241,7.409232,3.443173,-1.826528,-2.164977,3.582101
0.020000,4.830385,12.663537,7.477348,3.405758,-1.870722,-2.209720,3.571051
0.020000,4.768997,12.635832,7.544698,3.367512,-1.912309,-2.079331,3.559994
0.020000,4.708023,12.609122,7.611266,3.328390,-1.956082,-2.188642,3.548943
0.020000,4.647493,12.583398,7.677035,3.288453,-1.996880,-2.039910,3.537909
0.020000,4.587437,12.558654,7.741989,3.247700,-2.037631,-2.037564,3.526906
0.020000,4.527885,12.534879,7.806112,3.206144,-2.077790,-2.007973,3.515944
0.020000,4.468866,12.512062,7.869388,3.163807,-2.116857,-1.953320,3.505036
0.020000,4.410409,12.490190,7.931802,3.120715,-2.154628,-1.888571,3.494192
0.020000,4.352543,12.469250,7.993340,3.076897,-2.190902,-1.813687,3.483423
0.020000,4.295297,12.449225,8.053988,3.032387,-2.225476,-1.728715,3.472740
0.020000,4.238696,12.430100,8.113732,2.987224,-2.258152,-1.633790,3.462153
0.020000,4.182770,12.411856,8.172559,2.941346,-2.293881,-1.786442,3.451671
0.020000,4.127541,12.394475,8.230458,2.894954,-2.319638,-1.287844,3.441302
0.020000,4.073037,12.377937,8.287416,2.847895,-2.352918,-1.664023,3.431057
0.020000,4.019280,12.362222,8.343423,2.800374,-2.376055,-1.156845,3.420942
0.020000,3.966292,12.347308,8.398470,2.752306,-2.403396,-1.367027,3.410965
0.020000,3.914098,12.333174,8.452544,2.703721,-2.429255,-1.292950,3.401134
0.020000,3.862716,12.319796,8.505639,2.654741,-2.449003,-0.987419,3.391455
0.020000,3.812166,12.307152,8.557746,2.605347,-2.469715,-1.035610,3.381934
0.020000,3.762468,12.295218,8.608857,2.555580,-2.488362,-0.932350,3.372576
0.020000,3.713638,12.283971,8.658966,2.505420,-2.507989,-0.981356,3.363388
0.020000,3.665693,12.273386,8.708065,2.454959,-2.523031,-0.752103,3.354373
0.020000,3.618648,12.263439,8.756151,2.404282,-2.533872,-0.542041,3.345535
0.020000,3.572517,12.254106,8.803216,2.353257,-2.551240,-0.868409,3.336879
0.020000,3.527313,12.245363,8.849257,2.302082,-2.558728,-0.374363,3.328408
0.020000,3.483050,12.237186,8.894270,2.250614,-2.573427,-0.734951,3.320125
0.020000,3.439736,12.229551,8.938251,2.199078,-2.576802,-0.168758,3.312032
0.020000,3.397383,12.222434,8.981198,2.147357,-2.586041,-0.461950,3.304131
0.020000,3.356000,12.215812,9.023107,2.095450,-2.595340,-0.464960,3.296425
0.020000,3.315596,12.209661,9.063977,2.043474,-2.598792,-0.172587,3.288916
0.020000,3.276178,12.203958,9.103806,1.991437,-2.601868,-0.153812,3.281604
0.020000,3.237753,12.198682,9.142591,1.939253,-2.609202,-0.366697,3.274490
0.020000,3.200328,12.193811,9.180332,1.887074,-2.608933,0.013431,3.267575
0.020000,3.163905,12.189322,9.217030,1.834903,-2.608568,0.018251,3.260860
0.020000,3.128491,12.185195,9.252684,1.782706,-2.609839,-0.063541,3.254345
0.020000,3.094091,12.181410,9.287292,1.730366,-2.616993,-0.357685,3.248031
0.020000,3.060705,12.177946,9.320856,1.678233,-2.606682,0.515526,3.241916
0.020000,3.028341,12.174785,9.353375,1.625944,-2.614439,-0.387841,3.236000
0.020000,2.996997,12.171907,9.384850,1.573747,-2.609853,0.229320,3.230285
0.020000,2.966677,12.169295,9.415283,1.521629,-2.605871,0.199099,3.224768
0.020000,2.937382,12.166931,9.444673,1.469520,-2.605482,0.019452,3.219449
0.020000,2.909114,12.164799,9.473022,1.417437,-2.604157,0.066240,3.214328
0.020000,2.881873,12.162882,9.500330,1.365399,-2.601900,0.112869,3.209404
0.020000,2.855661,12.161164,9.526598,1.313424,-2.598713,0.159309,3.204676
0.020000,2.830477,12.159630,9.551829,1.261532,-2.594603,0.205529,3.200142
0.020000,2.806320,12.158267,9.576024,1.209741,-2.589573,0.251498,3.195803
0.020000,2.783192,12.157060,9.599184,1.158006,-2.586745,0.141420,3.191656
0.020000,2.761094,12.155996,9.621307,1.106183,-2.591118,-0.218690,3.187702
0.020000,2.740020,12.155064,9.642402,1.054730,-2.572669,0.922481,3.183938
0.020000,2.719977,12.154250,9.662462,1.002971,-2.587943,-0.763717,3.180365
0.020000,2.700957,12.153545,9.681494,0.951616,-2.567763,1.009010,3.176981
0.020000,2.682964,12.152937,9.699498,0.900203,-2.570646,-0.144173,3.173784
0.020000,2.665997,12.152416,9.716473,0.848749,-2.572704,-0.102882,3.170775
0.020000,2.650053,12.151973,9.732423,0.797500,-2.562458,0.512287,3.167951
0.020000,2.635132,12.151599,9.747349,0.746289,-2.560538,0.096009,3.165313
0.020000,2.621227,12.151286,9.761257,0.695429,-2.543001,0.876865,3.162857
0.020000,2.608313,12.151026,9.774174,0.645838,-2.479555,3.172272,3.160580
0.020000,2.596352,12.150812,9.786137,0.598130,-2.385375,4.709028,3.158473
0.020000,2.585307,12.150636,9.797183,0.552304,-2.291321,4.702666,3.156530
0.020000,2.575146,12.150494,9.807345,0.508134,-2.208485,4.141815,3.154744
0.020000,2.565825,12.150379,9.816666,0.466053,-2.104080,5.220242,3.153107
