dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,18.000000,0.000014,0.001383,0.069171,3.458550,3.139116
0.020000,11.000000,18.000000,0.000069,0.004150,0.138342,3.458550,3.139128
0.020000,11.000000,18.000000,0.000194,0.008301,0.207513,3.458550,3.139156
0.020000,11.000000,18.000000,0.000415,0.013834,0.276684,3.458550,3.139207
0.020000,11.000000,18.000000,0.000761,0.020751,0.345855,3.458550,3.139286
0.020000,11.000000,18.000000,0.001259,0.029052,0.415026,3.458550,3.139399
0.020000,11.000000,18.000000,0.001937,0.038736,0.484197,3.458550,3.139554
0.020000,11.000000,18.000000,0.002822,0.049803,0.553368,3.458550,3.139755
0.020000,11.000000,18.000000,0.003943,0.062254,0.622539,3.458550,3.140011
0.020000,11.000000,18.000000,0.005326,0.076088,0.691710,3.458550,3.140326
0.020000,11.000000,18.000000,0.007000,0.091306,0.760881,3.458550,3.140708
0.020000,11.000000,18.000000,0.008992,0.107907,0.830052,3.458550,3.141162
0.020000,10.999552,18.000000,0.011330,0.125891,0.899223,3.458550,3.141695
0.020000,10.996839,17.999999,0.014042,0.145259,0.968394,3.458550,3.142313
0.020000,10.993726,17.999996,0.017154,0.166010,1.037565,3.458550,3.143024
0.020000,10.990186,17.999989,0.020696,0.188145,1.106736,3.458550,3.143832
0.020000,10.986187,17.999978,0.024694,0.211663,1.175907,3.458550,3.144746
0.020000,10.981705,17.999962,0.029176,0.236565,1.245078,3.458550,3.145771
0.020000,10.976711,17.999938,0.034170,0.262850,1.314249,3.458550,3.146913
0.020000,10.971177,17.999905,0.039704,0.290518,1.383420,3.458550,3.148181
0.020000,10.965077,17.999861,0.045805,0.319570,1.452591,3.458550,3.149580
0.020000,10.958381,17.999802,0.052501,0.350005,1.521762,3.458550,3.151116
0.020000,10.951063,17.999726,0.059819,0.381824,1.590933,3.458550,3.152798
0.020000,10.943095,17.999630,0.067788,0.415026,1.660104,3.458550,3.154632
0.020000,10.934451,17.999508,0.076434,0.449612,1.729275,3.458550,3.156624
0.020000,10.925100,17.999358,0.085786,0.485580,1.798446,3.458550,3.158782
0.020000,10.915016,17.999173,0.095871,0.522933,1.867617,3.458550,3.161113
0.020000,10.904172,17.998947,0.106717,0.561669,1.936788,3.458550,3.163623
0.020000,10.892555,17.998676,0.118338,0.600404,1.936788,0.000000,3.166319
0.020000,10.880164,17.998351,0.130733,0.639140,1.936788,0.000000,3.169199
0.020000,10.866998,17.997968,0.143903,0.677876,1.936788,-0.000000,3.172265
0.020000,10.853061,17.997517,0.157848,0.716612,1.936788,0.000000,3.175519
0.020000,10.838352,17.996993,0.172568,0.755347,1.936788,0.000000,3.178960
