dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.003344,19.349996,0.000014,0.001383,0.069171,3.458550,3.139116
0.020000,11.003327,19.349996,0.000031,0.000851,-0.026618,-4.789447,3.139128
0.020000,11.003289,19.349996,0.000069,0.001915,0.053192,3.990489,3.139156
0.020000,11.003221,19.349996,0.000137,0.003404,0.074470,1.063908,3.139207
0.020000,11.003114,19.349996,0.000244,0.005319,0.095750,1.064017,3.139286
0.020000,11.002961,19.349997,0.000397,0.007660,0.117034,1.064196,3.139399
0.020000,11.002753,19.349997,0.000605,0.010426,0.138323,1.064461,3.139554
0.020000,11.002480,19.349998,0.000878,0.013619,0.159620,1.064829,3.139755
0.020000,11.002135,19.349998,0.001222,0.017237,0.180926,1.065315,3.140011
0.020000,11.001710,19.349999,0.001648,0.021282,0.202245,1.065935,3.140326
0.020000,11.001195,19.349999,0.002163,0.025754,0.223579,1.066702,3.140708
0.020000,11.000582,19.350000,0.002776,0.030653,0.244932,1.067629,3.141162
0.020000,10.999414,19.350000,0.003944,0.058390,1.386879,57.097369,3.141695
0.020000,10.995866,19.349999,0.007492,0.177395,5.950222,228.167149,3.142313
0.020000,10.991794,19.349994,0.011564,0.203595,1.310023,-232.009947,3.143024
0.020000,10.987162,19.349986,0.016196,0.231585,1.399511,4.474411,3.143832
0.020000,10.981930,19.349972,0.021428,0.261611,1.501310,5.089943,3.144746
0.020000,10.976064,19.349950,0.027294,0.293298,1.584346,4.151768,3.145771
0.020000,10.969528,19.349919,0.033830,0.326803,1.675210,4.543231,3.146913
0.020000,10.962283,19.349876,0.041075,0.362283,1.774000,4.939470,3.148181
0.020000,10.954294,19.349818,0.049064,0.399432,1.857470,4.173508,3.149580
0.020000,10.945525,19.349741,0.057834,0.438508,1.953789,4.815986,3.151116
0.020000,10.935935,19.349641,0.067424,0.479479,2.048572,4.739153,3.152798
0.020000,10.925493,19.349515,0.077867,0.522155,2.133776,4.260164,3.154632
0.020000,10.914160,19.349356,0.089201,0.566729,2.228715,4.746948,3.156624
0.020000,10.901896,19.349158,0.101467,0.613275,2.327286,4.928572,3.158782
0.020000,10.888666,19.348915,0.114699,0.661612,2.416881,4.479734,3.161113
0.020000,10.874433,19.348620,0.128935,0.711788,2.508809,4.596429,3.163623
0.020000,10.859179,19.348263,0.144194,0.762930,2.557084,2.413720,3.166319
0.020000,10.842900,19.347837,0.160478,0.814199,2.563461,0.318860,3.169199
0.020000,10.825597,19.347333,0.177788,0.865541,2.567088,0.181356,3.172265
0.020000,10.807269,19.346740,0.196125,0.916852,2.565543,-0.077265,3.175519
0.020000,10.787918,19.346050,0.215489,0.968176,2.566183,0.032017,3.178960
0.020000,10.767536,19.345251,0.235887,1.019880,2.585220,0.951866,3.182591
0.020000,10.746131,19.344332,0.257312,1.071252,2.568575,-0.832262,3.186411
0.020000,10.723694,19.343281,0.279773,1.123081,2.591474,1.144956,3.190423
0.020000,10.700231,19.342085,0.303267,1.174681,2.579977,-0.574854,3.194627
0.020000,10.675740,19.340731,0.327795,1.226413,2.586612,0.331715,3.199025
0.020000,10.650218,19.339205,0.353363,1.278377,2.598195,0.579158,3.203617
0.020000,10.623668,19.337492,0.379968,1.330271,2.594698,-0.174849,3.208404
0.020000,10.596089,19.335578,0.407613,1.382230,2.597951,0.162664,3.213387
0.020000,10.567484,19.333446,0.436298,1.434250,2.601033,0.154078,3.218567
0.020000,10.537852,19.331080,0.466024,1.486314,2.603186,0.107694,3.223945
0.020000,10.507192,19.328464,0.496795,1.538538,2.611175,0.399429,3.229522
0.020000,10.475509,19.325578,0.528609,1.590713,2.608752,-0.121172,3.235298
0.020000,10.442806,19.322406,0.561466,1.642843,2.606524,-0.111364,3.241273
0.020000,10.409081,19.318928,0.595369,1.695172,2.616461,0.496818,3.247449
0.020000,10.374342,19.315125,0.630316,1.747349,2.608834,-0.381358,3.253825
0.020000,10.338588,19.310976,0.666310,1.799699,2.617520,0.434327,3.260401
0.020000,10.301826,19.306462,0.703348,1.851878,2.608910,-0.430484,3.267178
0.020000,10.264061,19.301560,0.741429,1.904085,2.610372,0.073058,3.274154
0.020000,10.225296,19.296249,0.780557,1.956361,2.613773,0.170059,3.281330
0.020000,10.185539,19.290508,0.820726,2.008484,2.606169,-0.380194,3.288705
0.020000,10.144797,19.284313,0.861937,2.060539,2.602739,-0.171508,3.296277
0.020000,10.103077,19.277641,0.904187,2.112506,2.598366,-0.218612,3.304046
0.020000,10.060386,19.270470,0.947476,2.164451,2.597252,-0.055728,3.312009
0.020000,10.016735,19.262775,0.991800,2.216169,2.585898,-0.567707,3.320165
0.020000,9.972137,19.254533,1.037154,2.267696,2.576333,-0.478214,3.328511
0.020000,9.926598,19.245719,1.083537,2.319182,2.574301,-0.101618,3.337045
0.020000,9.880135,19.236309,1.130943,2.370312,2.556506,-0.889730,3.345764
0.020000,9.832758,19.226279,1.179371,2.421362,2.552494,-0.200625,3.354664
0.020000,9.784484,19.215605,1.228811,2.472022,2.533010,-0.974208,3.363741
0.020000,9.735327,19.204263,1.279260,2.522427,2.520274,-0.636795,3.372992
0.020000,9.685303,19.192227,1.330710,2.572533,2.505276,-0.749892,3.382410
0.020000,9.634431,19.179475,1.383156,2.622297,2.488216,-0.852990,3.391992
0.020000,9.582730,19.165983,1.436590,2.671667,2.468480,-0.986790,3.401732
0.020000,9.530218,19.151727,1.491002,2.720617,2.447516,-1.048203,3.411622
0.020000,9.476918,19.136686,1.546384,2.769098,2.424040,-1.173828,3.421658
0.020000,9.422851,19.120836,1.602725,2.817074,2.398828,-1.260606,3.431830
0.020000,9.368041,19.104158,1.660017,2.864584,2.375459,-1.168455,3.442132
0.020000,9.312512,19.086630,1.718247,2.911508,2.346216,-1.462121,3.452556
0.020000,9.256288,19.068232,1.777404,2.957864,2.317813,-1.420176,3.463092
0.020000,9.199396,19.048947,1.837476,3.003567,2.285122,-1.634528,3.473732
0.020000,9.141863,19.028757,1.898449,3.048674,2.255383,-1.486974,3.484466
0.020000,9.083716,19.007644,1.960311,3.093074,2.219962,-1.771024,3.495283
0.020000,9.024983,18.985594,2.023046,3.136758,2.184238,-1.786197,3.506175
0.020000,8.965694,18.962594,2.086640,3.179710,2.147603,-1.831781,3.517128
0.020000,8.905878,18.938630,2.151078,3.221900,2.109498,-1.905256,3.528133
0.020000,8.845564,18.913691,2.216344,3.263308,2.070394,-1.955196,3.539178
0.020000,8.784783,18.887769,2.282423,3.303926,2.030910,-1.974158,3.550250
0.020000,8.723564,18.860854,2.349297,3.343693,1.988317,-2.129650,3.561338
0.020000,8.661938,18.832941,2.416949,3.382630,1.946870,-2.072356,3.572428
0.020000,8.599935,18.804024,2.485364,3.420717,1.904361,-2.125480,3.583509
0.020000,8.537585,18.774101,2.554522,3.457937,1.860997,-2.168189,3.594568
0.020000,8.474918,18.743169,2.624408,3.494283,1.817300,-2.184841,3.605591
0.020000,8.411961,18.711229,2.695003,3.529760,1.773824,-2.173831,3.616566
0.020000,8.348745,18.678282,2.766290,3.564356,1.729790,-2.201669,3.627480
0.020000,8.285295,18.644331,2.838252,3.598075,1.685957,-2.191636,3.638319
0.020000,8.221641,18.609381,2.910870,3.630923,1.642394,-2.178166,3.649071
0.020000,8.157806,18.573438,2.984128,3.662906,1.599167,-2.161372,3.659723
0.020000,8.093817,18.536510,3.058009,3.694031,1.556255,-2.145588,3.670262
0.020000,8.029697,18.498604,3.132495,3.724308,1.513850,-2.120226,3.680676
0.020000,7.965468,18.459733,3.207570,3.753762,1.472685,-2.058263,3.690952
0.020000,7.901153,18.419906,3.283218,3.782397,1.431763,-2.046107,3.701079
0.020000,7.836771,18.379138,3.359423,3.810226,1.391464,-2.014943,3.711044
0.020000,7.772340,18.337442,3.436169,3.837286,1.352976,-1.924415,3.720836
0.020000,7.707878,18.294833,3.513440,3.863581,1.314778,-1.909878,3.730444
0.020000,7.643400,18.251326,3.591223,3.889125,1.277184,-1.879694,3.739857
0.020000,7.578922,18.206940,3.669502,3.913964,1.241949,-1.761790,3.749063
0.020000,7.514454,18.161692,3.748264,3.938101,1.206849,-1.754985,3.758053
0.020000,7.450023,18.115609,3.827479,3.960747,1.132305,-3.727186,3.766815
0.020000,7.385663,18.068732,3.907102,3.981137,1.019478,-5.641355,3.775336
