dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500000,12.150000,0.000014,0.001354,0.067721,3.386032,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,-0.067721,-6.772064,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,3.386032,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.500000,12.150000,0.000014,0.000000,0.000000,0.000000,3.141593
0.020000,7.499786,12.150000,0.000228,0.010724,0.536224,26.811195,3.141593
0.020000,7.498147,12.150000,0.001867,0.081942,3.560875,151.232556,3.141593
0.020000,7.496196,12.150000,0.003817,0.097518,0.778787,-139.104382,3.141593
0.020000,7.493907,12.150000,0.006106,0.114448,0.846508,3.386032,3.141593
0.020000,7.491253,12.150000,0.008761,0.132732,0.914229,3.386032,3.141593
0.020000,7.488205,12.150000,0.011808,0.152371,0.981949,3.386032,3.141593
0.020000,7.484738,12.150000,0.015276,0.173365,1.049670,3.386032,3.141593
0.020000,7.480837,12.150000,0.019176,0.195035,1.083530,1.693016,3.141593
0.020000,7.476503,12.150000,0.023510,0.216706,1.083530,0.000000,3.141593
0.020000,7.471736,12.150000,0.028278,0.238377,1.083530,-0.000000,3.141593
0.020000,7.466535,12.150000,0.033479,0.260047,1.083530,0.000000,3.141593
0.020000,7.460900,12.150000,0.039113,0.281718,1.083530,0.000000,3.141593
0.020000,7.454833,12.150000,0.045181,0.303388,1.083530,0.000000,3.141593
0.020000,7.448331,12.150000,0.051682,0.325059,1.083530,0.000000,3.141593
0.020000,7.441397,12.150000,0.058617,0.346730,1.083530,-0.000000,3.141593
0.020000,7.434029,12.150000,0.065985,0.368400,1.083530,-0.000000,3.141593
0.020000,7.426227,12.150000,0.073786,0.390071,1.083530,0.000000,3.141593
0.020000,7.417993,12.150000,0.082021,0.411742,1.083530,0.000000,3.141593
0.020000,7.409324,12.150000,0.090689,0.433412,1.083530,-0.000000,3.141593
0.020000,7.400223,12.150000,0.099791,0.455083,1.083530,0.000000,3.141593
0.020000,7.390688,12.150000,0.109326,0.476753,1.083530,0.000000,3.141593
0.020000,7.380719,12.150000,0.119294,0.498424,1.083530,-0.000000,3.141593
0.020000,7.370317,12.150000,0.129696,0.520095,1.083530,0.000000,3.141593
0.020000,7.359482,12.150000,0.140532,0.541765,1.083530,0.000000,3.141593
0.020000,7.348213,12.150000,0.151800,0.563436,1.083530,0.000000,3.141593
0.020000,7.336511,12.150000,0.163503,0.585106,1.083530,-0.000000,3.141593
0.020000,7.324375,12.150000,0.175638,0.606777,1.083530,0.000000,3.141593
0.020000,7.311807,12.150000,0.188207,0.628448,1.083530,-0.000000,3.141593
0.020000,7.298804,12.150000,0.201209,0.650118,1.083530,-0.000000,3.141593
0.020000,7.285368,12.150000,0.214645,0.671789,1.083530,0.000000,3.141593
0.020000,7.271499,12.150000,0.228514,0.693459,1.083530,-0.000000,3.141593
0.020000,7.257197,12.150000,0.242817,0.715130,1.083530,0.000000,3.141593
0.020000,7.242461,12.150000,0.257553,0.736801,1.083530,0.000000,3.141593
0.020000,7.227291,12.150000,0.272722,0.758471,1.083530,-0.000000,3.141593
0.020000,7.211688,12.150000,0.288325,0.780142,1.083530,0.000000,3.141593
0.020000,7.195652,12.150000,0.304361,0.801812,1.083530,0.000000,3.141593
0.020000,7.179182,12.150000,0.320831,0.823483,1.083530,0.000000,3.141593
0.020000,7.162279,12.150000,0.337734,0.845154,1.083530,-0.000000,3.141593
0.020000,7.144943,12.150000,0.355071,0.866824,1.083530,0.000000,3.141593
0.020000,7.127173,12.150000,0.372841,0.888495,1.083530,-0.000000,3.141593
0.020000,7.108970,12.150000,0.391044,0.910165,1.083530,0.000000,3.141593
0.020000,7.090333,12.150000,0.409681,0.931836,1.083530,0.000000,3.141593
0.020000,7.071263,12.150000,0.428751,0.953507,1.083530,0.000000,3.141593
0.020000,7.051759,12.150000,0.448254,0.975177,1.083530,0.000000,3.141593
0.020000,7.031822,12.150000,0.468191,0.996848,1.083530,-0.000000,3.141593
0.020000,7.011452,12.150000,0.488562,1.018518,1.083530,0.000000,3.141593
0.020000,6.990648,12.150000,0.509365,1.040189,1.083530,-0.000000,3.141593
0.020000,6.969411,12.150000,0.530603,1.061860,1.083530,0.000000,3.141593
0.020000,6.947740,12.150000,0.552273,1.083530,1.083530,0.000000,3.141593
0.020000,6.925636,12.150000,0.574377,1.105201,1.083530,-0.000000,3.141593
0.020000,6.903099,12.150000,0.596915,1.126872,1.083530,0.000000,3.141593
0.020000,6.880128,12.150000,0.619885,1.148542,1.083530,-0.000000,3.141593
0.020000,6.856724,12.150000,0.643290,1.170213,1.083530,0.000000,3.141593
0.020000,6.832886,12.150000,0.667127,1.191883,1.083530,0.000000,3.141593
0.020000,6.808615,12.150000,0.691398,1.213554,1.083530,0.000000,3.141593
0.020000,6.783911,12.150000,0.716103,1.235225,1.083530,0.000000,3.141593
0.020000,6.758773,12.150000,0.741241,1.256895,1.083530,-0.000000,3.141593
0.020000,6.733201,12.150000,0.766812,1.278566,1.083530,0.000000,3.141593
0.020000,6.707197,12.150000,0.792817,1.300236,1.083530,-0.000000,3.141593
0.020000,6.680759,12.150000,0.819255,1.321907,1.083530,0.000000,3.141593
0.020000,6.653887,12.150000,0.846127,1.343578,1.083530,-0.000000,3.141593
0.020000,6.626582,12.150000,0.873432,1.365248,1.083530,0.000000,3.141593
0.020000,6.598844,12.150000,0.901170,1.386919,1.083530,0.000000,3.141593
0.020000,6.570672,12.150000,0.929342,1.408589,1.083530,-0.000000,3.141593
0.020000,6.542067,12.150000,0.957947,1.430260,1.083530,0.000000,3.141593
0.020000,6.513028,12.150000,0.986986,1.451931,1.083530,0.000000,3.141593
0.020000,6.483556,12.150000,1.016458,1.473601,1.083530,0.000000,3.141593
0.020000,6.453651,12.150000,1.046363,1.495272,1.083530,-0.000000,3.141593
0.020000,6.423312,12.150000,1.076702,1.516942,1.083530,0.000000,3.141593
0.020000,6.392539,12.150000,1.107474,1.538613,1.083530,-0.000000,3.141593
0.020000,6.361334,12.150000,1.138680,1.560284,1.083530,0.000000,3.141593
0.020000,6.329695,12.150000,1.170319,1.581954,1.083530,0.000000,3.141593
0.020000,6.297622,12.150000,1.202391,1.603625,1.083530,-0.000000,3.141593
0.020000,6.265116,12.150000,1.234897,1.625295,1.083530,0.000000,3.141593
0.020000,6.232177,12.150000,1.267837,1.646966,1.083530,0.000000,3.141593
0.020000,6.198804,12.150000,1.301209,1.668637,1.083530,-0.000000,3.141593
0.020000,6.164998,12.150000,1.335015,1.690307,1.083530,0.000000,3.141593
0.020000,6.130759,12.150000,1.369255,1.711978,1.083530,0.000000,3.141593
0.020000,6.096086,12.150000,1.403928,1.733648,1.083530,0.000000,3.141593
0.020000,6.060979,12.150000,1.439034,1.755319,1.083530,0.000000,3.141593
0.020000,6.025439,12.150000,1.474574,1.776990,1.083530,0.000000,3.141593
0.020000,5.989466,12.150000,1.510547,1.798660,1.083530,-0.000000,3.141593
0.020000,5.953060,12.150000,1.546954,1.820331,1.083530,0.000000,3.141593
0.020000,5.916220,12.150000,1.583794,1.842002,1.083530,0.000000,3.141593
0.020000,5.878946,12.150000,1.621067,1.863672,1.083530,0.000000,3.141593
0.020000,5.841239,12.150000,1.658774,1.885343,1.083530,0.000000,3.141593
0.020000,5.803099,12.150000,1.696915,1.907013,1.083530,-0.000000,3.141593
0.020000,5.764525,12.150000,1.735488,1.928684,1.083530,-0.000000,3.141593
0.020000,5.725518,12.150000,1.774495,1.950355,1.083530,0.000000,3.141593
0.020000,5.686078,12.150000,1.813936,1.972025,1.083530,-0.000000,3.141593
0.020000,5.646204,12.150000,1.853810,1.993696,1.083530,0.000000,3.141593
0.020000,5.605910,12.150000,1.894104,2.014689,1.049670,-1.693016,3.141593
0.020000,5.565223,12.150000,1.934790,2.034328,0.981949,-3.386032,3.141593
0.020000,5.524171,12.150000,1.975842,2.052613,0.914229,-3.386032,3.141593
0.020000,5.482780,12.150000,2.017233,2.069543,0.846508,-3.386032,3.141593
0.020000,5.441078,12.150000,2.058936,2.085119,0.778787,-3.386032,3.141593
0.020000,5.399091,12.150000,2.100922,2.099340,0.711067,-3.386032,3.141593
0.020000,5.356847,12.150000,2.143167,2.112207,0.643346,-3.386032,3.141593
0.020000,5.314373,12.150000,2.185641,2.123719,0.575625,-3.386032,3.141593
0.020000,5.271695,12.150000,2.228318,2.133877,0.507905,-3.386032,3.141593
0.020000,5.228841,12.150000,2.271172,2.142681,0.440184,-3.386032,3.141593
0.020000,5.185839,12.150000,2.314175,2.150130,0.372464,-3.386032,3.141593
0.020000,5.142714,12.150000,2.357299,2.156225,0.304743,-3.386032,3.141593
0.020000,5.099495,12.150000,2.400519,2.160966,0.237022,-3.386032,3.141593
0.020000,5.056208,12.150000,2.443806,2.164352,0.169302,-3.386032,3.141593
0.020000,5.012880,12.150000,2.487133,2.166383,0.101581,-3.386032,3.141593
0.020000,4.969546,12.150000,2.530467,2.166708,0.016219,-4.268086,3.141593
0.020000,4.926240,12.150000,2.573774,2.165325,-0.069142,-4.268086,3.141593
0.020000,4.882988,12.150000,2.617026,2.162588,-0.136863,-3.386032,3.141593
0.020000,4.839818,12.150000,2.660196,2.158496,-0.204584,-3.386032,3.141593
0.020000,4.796757,12.150000,2.703257,2.153050,-0.272304,-3.386032,3.141593
0.020000,4.753832,12.150000,2.746182,2.146249,-0.340025,-3.386032,3.141593
0.020000,4.711070,12.150000,2.788943,2.138094,-0.407746,-3.386032,3.141593
0.020000,4.668498,12.150000,2.831515,2.128585,-0.475466,-3.386032,3.141593
0.020000,4.626144,12.150000,2.873870,2.117721,-0.543187,-3.386032,3.141593
0.020000,4.584034,12.150000,2.915980,2.105503,-0.610908,-3.386032,3.141593
0.020000,4.542195,12.150000,2.957818,2.091931,-0.678628,-3.386032,3.141593
0.020000,4.500655,12.150000,2.999358,2.077004,-0.746349,-3.386032,3.141593
0.020000,4.459441,12.150000,3.040573,2.060722,-0.814070,-3.386032,3.141593
0.020000,4.418579,12.150000,3.081434,2.043087,-0.881790,-3.386032,3.141593
0.020000,4.378097,12.150000,3.121916,2.024096,-0.949511,-3.386032,3.141593
0.020000,4.338022,12.150000,3.161991,2.003752,-1.017231,-3.386032,3.141593
