dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500000,13.500000,0.000014,0.001354,0.067721,3.386032,3.141593
0.020000,7.500000,13.500000,0.000068,0.004063,0.135441,3.386032,3.141593
0.020000,7.500000,13.500000,0.000190,0.008126,0.203162,3.386032,3.141593
0.020000,7.500000,13.500000,0.000406,0.013544,0.270883,3.386032,3.141593
0.020000,7.500000,13.500000,0.000745,0.020316,0.338603,3.386032,3.141593
0.020000,7.500000,13.500000,0.001233,0.028443,0.406324,3.386032,3.141593
0.020000,7.500000,13.500000,0.001896,0.037924,0.474045,3.386032,3.141593
0.020000,7.500000,13.500000,0.002763,0.048759,0.541765,3.386032,3.141593
0.020000,7.500000,13.500000,0.003860,0.060949,0.609486,3.386032,3.141593
0.020000,7.499786,13.500000,0.005214,0.074493,0.677206,3.386032,3.141593
0.020000,7.498147,13.500000,0.006853,0.089391,0.744927,3.386032,3.141593
0.020000,7.496196,13.500000,0.008804,0.105644,0.812648,3.386032,3.141593
0.020000,7.493907,13.500000,0.011093,0.123252,0.880368,3.386032,3.141593
0.020000,7.491253,13.500000,0.013747,0.142213,0.948089,3.386032,3.141593
0.020000,7.488205,13.500000,0.016795,0.162530,1.015810,3.386032,3.141593
0.020000,7.484738,13.500000,0.020262,0.184200,1.083530,3.386032,3.141593
0.020000,7.480837,13.500000,0.024163,0.205871,1.083530,-0.000000,3.141593
0.020000,7.476503,13.500000,0.028497,0.227541,1.083530,0.000000,3.141593
0.020000,7.471736,13.500000,0.033264,0.249212,1.083530,0.000000,3.141593
0.020000,7.466535,13.500000,0.038465,0.270883,1.083530,-0.000000,3.141593
0.020000,7.460900,13.500000,0.044100,0.292553,1.083530,0.000000,3.141593
0.020000,7.454833,13.500000,0.050167,0.314224,1.083530,-0.000000,3.141593
0.020000,7.448331,13.500000,0.056669,0.335894,1.083530,0.000000,3.141593
0.020000,7.441397,13.500000,0.063603,0.357565,1.083530,0.000000,3.141593
0.020000,7.434029,13.500000,0.070971,0.379236,1.083530,-0.000000,3.141593
0.020000,7.426227,13.500000,0.078773,0.400906,1.083530,0.000000,3.141593
0.020000,7.417993,13.500000,0.087007,0.422577,1.083530,0.000000,3.141593
0.020000,7.409324,13.500000,0.095676,0.444247,1.083530,-0.000000,3.141593
0.020000,7.400223,13.500000,0.104777,0.465918,1.083530,0.000000,3.141593
